"","Respondent_ID_2016","year","qualifications","sex","age","birth_country","religion","social_class","living_status","annual_income","PCODE"
"39","1132308","2019","Bachelor","Female",59,"Australia","Roman Catholic","Working","Small Country Town","45,001-50,000","2464"
"40","1132313","2019","Trade","Male",76,"Australia","Anglican","Working","Major City","50,001-60,000","2210"
"41","1140155","2019","No Qualification","Female",65,"Australia","Roman Catholic","Working","Small Country Town","10,001-15,000","2334"
"42","1140622","2019","No Qualification","Female",50,"Australia","Roman Catholic","Working","Large Town","130,001-140,000","2650"
"43","1146530","2019","Trade","Male",57,"Australia","Christian","Working","Large Country Town","45,001-50,000","2280"
"44","1154658","2019","Postgraduate","Male",72,"Australia","Christian","Middle","Major City","60,001-70,000","2126"
"45","1157602","2019","Trade","Male",44,"Australia","Baptist","Working","Rural","30,001-35,000","2420"
"46","1164353","2019","Bachelor","Male",53,"Australia","Roman Catholic","Middle","Major City",">180,000","2280"
"47","1165893","2019","Undergraduate","Male",59,"Australia","Roman Catholic","None","Major City","100,001-110,000","2036"
"48","1175588","2019","Bachelor","Female",67,"NESB","Roman Catholic","Working","Major City","90,001-100,000","2042"
"49","1179941","2019","Postgraduate","Female",73,"Australia","Anglican","Middle","Small Country Town","20,001-25,000","2548"
"50","1190841","2019","Associate Diploma","Male",63,"Australia","Roman Catholic","Middle","Major City","100,001-110,000","2154"
"51","1192099","2019","Postgraduate","Male",56,"NESB","Roman Catholic","Working","Major City","150,001-160,000","2200"
"52","1199145","2019","Bachelor","Other",50,"Australia","Roman Catholic","Middle","Major City",">180,000","2101"
"53","1199293","2019","Bachelor","Male",63,"Australia","No Religion","Middle","Major City",">180,000","2085"
"54","1202010","2019","Associate Diploma","Male",78,"Australia","Roman Catholic","Middle","Major City","15,001-20,000","4818"
"55","1202142","2019","Non-Trade","Male",74,"NESB","Methodist","Working","Rural","45,001-50,000","2469"
"56","1220558","2019","No Qualification","Male",62,"NESB","No Religion","Middle","Major City","50,001-60,000","2063"
"57","1230452","2019","Postgraduate","Male",58,"NESB","No Religion","Working","Major City","50,001-60,000","2077"
"58","1232714","2019","Non-Trade","Female",57,"Australia","Anglican","Working","Major City","70,001-80,000","2320"
"59","1234096","2019","No Qualification","Male",50,"NESB","Orthodox","Working","Large Town","100,001-110,000","2530"
"60","1239458","2019","Bachelor","Male",50,"Australia","Roman Catholic","Middle","Major City",">180,000","2007"
"61","1240935","2019","Postgraduate","Male",52,"Australia","Christian","Middle","Major City",">180,000","2121"
"62","1242126","2019","Postgraduate","Male",55,"ESB","No Religion","Middle","Major City","120,001-130,000","2203"
"63","1243597","2019","Bachelor","Male",41,"Australia","No Religion","Middle","Major City",">180,000","2010"
"64","1245751","2019","Associate Diploma","Female",48,"Australia","No Religion","Working","Large Town","35,001-40,000","2283"
"65","1267681","2019","Bachelor","Male",80,"ESB","No Religion","Middle","Major City","25,001-30,000","2516"
"66","1267732","2019","Postgraduate","Male",58,"Australia","Roman Catholic","Working","Large Town","60,001-70,000","2480"
"67","1275150","2019","Bachelor","Female",53,"Australia","No Religion","Working","Major City","100,001-110,000","2152"
"68","1276165","2019","Bachelor","Female",29,"Australia","Anglican","Middle","Large Town","110,001-120,000","2234"
"69","1287168","2019","No Qualification","Female",79,"Australia","Anglican","Working","Large Country Town","25,001-30,000","2527"
"70","1287968","2019","Non-Trade","Male",72,"Australia","Roman Catholic","Working","Major City","70,001-80,000","2170"
"71","1289448","2019","Bachelor","Female",45,"NESB","Orthodox","Middle","Major City","160,001-180,000","2217"
"72","1299617","2019","Bachelor","Female",42,"Australia","Roman Catholic","Middle","Major City","130,001-140,000","2223"
"73","1302095","2019","Trade","Male",70,"Australia","Roman Catholic","Working","Rural","30,001-35,000","2426"
"74","1308432","2019","Postgraduate","Male",76,"ESB","No Religion","None","Small Country Town","50,001-60,000","2317"
"75","1314862","2019","Bachelor","Male",66,"Australia","No Religion","Middle","Major City","90,001-100,000","2097"
"76","1317792","2019","Trade","Male",72,"Australia","No Religion","Middle","Rural","20,001-25,000","2540"
"77","1321638","2019","Postgraduate","Male",56,"ESB","No Religion","Middle","Major City",">180,000","2001"
"78","1323851","2019","Postgraduate","Female",65,"Australia","No Religion","Middle","Major City","25,001-30,000","2282"
"79","1346571","2019","Bachelor","Male",48,"Australia","No Religion","Middle","Major City",">180,000","2097"
"80","1347731","2019","Non-Trade","Male",63,"Australia","Baptist","Middle","Rural","20,001-25,000","2870"
"81","1349433","2019","Bachelor","Male",47,"Australia","Anglican","Middle","Rural","80,001-90,000","2680"
"82","1350392","2019","Postgraduate","Female",58,"Australia","Christian","Middle","Large Town","60,001-70,000","2304"
"83","1369316","2019","Non-Trade","Female",59,"Australia","Presbyterian","Working","Major City","40,001-45,000","2170"
"84","1373216","2019","Bachelor","Female",46,"Australia","Non-Christian Other","Middle","Small Country Town","<10,000","2540"
"85","1375254","2019","Trade","Male",68,"Australia","Anglican","Working","Large Town","45,001-50,000","2317"
"86","1377855","2019","No Qualification","Female",59,"Australia","Anglican","None","Small Country Town","20,001-25,000","2540"
"87","1382497","2019","Bachelor","Male",24,"Australia","No Religion","Middle","Major City","120,001-130,000","2170"
"88","1386485","2019","Postgraduate","Male",56,"Australia","No Religion","Middle","Small Country Town","160,001-180,000","2456"
"89","1388647","2019","Trade","Male",63,"Australia","No Religion","Middle","Major City","60,001-70,000","2101"
"90","1389700","2019","Postgraduate","Male",23,"Australia","No Religion","Middle","Major City","150,001-160,000","2118"
"91","1389851","2019","Bachelor","Male",68,"ESB","No Religion","Working","Small Country Town","30,001-35,000","2731"
"92","1406063","2019","Undergraduate","Female",71,"NESB","Roman Catholic","Middle","Large Country Town","30,001-35,000","2320"
"93","1411918","2019","Bachelor","Female",23,"ESB","Muslim","Working","Major City",">180,000","2173"
"94","1413841","2019","Bachelor","Female",30,"Australia","Roman Catholic","Working","Major City","160,001-180,000","2285"
"95","1416344","2019","Bachelor","Female",23,"Australia","No Religion","Working","Major City","50,001-60,000","2280"
"96","1422869","2019","Postgraduate","Male",85,"Australia","Christian","Middle","Major City","45,001-50,000","2112"
"97","1430618","2019","Non-Trade","Female",57,"Australia","Roman Catholic","Working","Major City","70,001-80,000","2168"
"98","1432791","2019","Bachelor","Male",39,"Australia","Christian","Middle","Major City",">180,000","2320"
"99","1435933","2019","No Qualification","Male",21,"Australia","No Religion","Middle","Large Town","15,001-20,000","2477"
"100","1435984","2019","Non-Trade","Female",40,"NESB","No Religion","Middle","Large Town","120,001-130,000","2444"
"101","1436532","2019","Bachelor","Female",35,"Australia","Roman Catholic","Middle","Large Town","120,001-130,000","2650"
"102","1437438","2019","Bachelor","Female",40,"Australia","Anglican","Middle","Major City",">180,000","2147"
"103","1438038","2019","Associate Diploma","Male",73,"Australia","No Religion","Middle","Large Country Town","30,001-35,000","2594"
"104","1440482","2019","Associate Diploma","Male",68,"Australia","Roman Catholic","Middle","Large Town","80,001-90,000","2040"
"105","1448762","2019","Bachelor","Male",36,"Australia","No Religion","Middle","Major City","160,001-180,000","2298"
"106","1451403","2019","Bachelor","Female",36,"Australia","No Religion","Middle","Large Country Town",">180,000","2830"
"107","1460002","2019","Postgraduate","Male",76,"ESB","Non-Christian Other","Middle","Large Town","80,001-90,000","2756"
"108","1465568","2019","Associate Diploma","Female",55,"NESB","No Religion","Working","Major City","60,001-70,000","2096"
"109","1465612","2019","Undergraduate","Male",30,"Australia","Jewish","Middle","Major City","140,001-150,000","2017"
"110","1473954","2019","Associate Diploma","Male",53,"Australia","No Religion","Working","Large Town","160,001-180,000","2529"
"111","1475630","2019","No Qualification","Male",58,"Australia","No Religion","Middle","Rural","150,001-160,000","2450"
"112","1476566","2019","Undergraduate","Female",64,"Australia","Roman Catholic","Middle","Small Country Town","90,001-100,000","2380"
"113","1480341","2019","No Qualification","Female",65,"Australia","Roman Catholic","Working","Large Town","30,001-35,000","2650"
"114","1483389","2019","Postgraduate","Female",71,"Australia","No Religion","Middle","Small Country Town","20,001-25,000","2646"
"115","1486907","2019","No Qualification","Male",27,"Australia","No Religion","Working","Large Town","35,001-40,000","2650"
"116","1490242","2019","Postgraduate","Male",31,"Australia","No Religion","Middle","Major City","20,001-25,000","2031"
"117","1490665","2019","Bachelor","Male",46,"Australia","Lutheran","Middle","Large Town",">180,000","2640"
"118","1505642","2019","No Qualification","Female",83,"Australia","Salvation Army","Working","Small Country Town","<10,000","2266"
"119","1509419","2019","Bachelor","Female",62,"Australia","No Religion","Middle","Rural","40,001-45,000","2550"
"120","1513630","2019","Postgraduate","Male",45,"Australia","No Religion","Middle","Small Country Town","120,001-130,000","2594"
"121","1530344","2019","Bachelor","Male",40,"Australia","No Religion","Middle","Major City",">180,000","2011"
"122","1532581","2019","Bachelor","Female",24,"Australia","No Religion","Middle","Major City","80,001-90,000","2630"
"123","1532741","2019","Associate Diploma","Male",42,"Australia","Roman Catholic","Middle","Large Town","80,001-90,000","2233"
"124","1533886","2019","Bachelor","Female",64,"Australia","Presbyterian","Working","Large Country Town","80,001-90,000","2400"
"125","1534099","2019","Postgraduate","Female",58,"Australia","No Religion","Upper","Major City","140,001-150,000","2094"
"126","1547366","2019","Bachelor","Female",56,"Australia","Anglican","Middle","Major City","160,001-180,000","2193"
"127","1552432","2019","Bachelor","Male",63,"ESB","Anglican","Middle","Major City",">180,000","2041"
"128","1565572","2019","Postgraduate","Female",45,"Australia","Roman Catholic","Middle","Major City","110,001-120,000","2042"
"129","1572867","2019","Trade","Female",64,"Australia","Roman Catholic","Working","Small Country Town","50,001-60,000","2502"
"130","1575638","2019","Bachelor","Male",41,"Australia","No Religion","Working","Major City","150,001-160,000","2260"
"131","1579964","2019","No Qualification","Female",22,"Australia","Roman Catholic","Middle","Major City","50,001-60,000","2212"
"132","1581698","2019","Bachelor","Male",68,"ESB","Christian","Middle","Small Country Town","90,001-100,000","2315"
"133","1593831","2019","Bachelor","Female",24,"Australia","No Religion","Working","Major City","40,001-45,000","2500"
"134","1613666","2019","Non-Trade","Female",67,"Australia","Roman Catholic","Working","Major City","25,001-30,000","4020"
"135","1618522","2019","Bachelor","Male",79,"Australia","Methodist","Middle","Large Town","25,001-30,000","4303"
"136","1622390","2019","Trade","Male",76,"Australia","Roman Catholic","Middle","Major City","25,001-30,000","4061"
"137","1623864","2019","Postgraduate","Female",64,"Australia","Christian","Middle","Major City","60,001-70,000","4122"
"138","1627715","2019","Postgraduate","Male",71,"Australia","Roman Catholic","Middle","Major City","35,001-40,000","4075"
"139","1627988","2019","No Qualification","Female",70,"Australia","Anglican","None","Major City","10,001-15,000","4133"
"140","1632643","2019","No Qualification","Male",75,"Australia","No Religion","Middle","Rural","<10,000","4520"
"141","1632700","2019","Non-Trade","Female",60,"Australia","Methodist","Working","Major City","60,001-70,000","4223"
"142","1633640","2019","Postgraduate","Female",65,"ESB","No Religion","Middle","Major City",">180,000","4165"
"143","1633933","2019","Postgraduate","Female",55,"Australia","Lutheran","Middle","Rural","140,001-150,000","4352"
"144","1635647","2019","Trade","Male",60,"Australia","No Religion","Middle","Major City","160,001-180,000","4074"
"145","1638582","2019","No Qualification","Female",78,"ESB","Anglican","Working","Large Country Town","30,001-35,000","4122"
"146","1640365","2019","Trade","Male",65,"Australia","Anglican","Working","Major City","50,001-60,000","4305"
"147","1654531","2019","Postgraduate","Female",54,"Australia","Roman Catholic","Middle","Rural",">180,000","4183"
"148","1656807","2019","Bachelor","Male",68,"Australia","Methodist","Middle","Major City","50,001-60,000","4152"
"149","1658137","2019","Non-Trade","Male",65,"Australia","No Religion","Working","Rural","80,001-90,000","4417"
"150","1659419","2019","Bachelor","Male",66,"Australia","No Religion","Middle","Major City",">180,000","4350"
"151","1660932","2019","Non-Trade","Male",50,"NESB","No Religion","Working","Major City","60,001-70,000","4077"
"152","1661160","2019","Trade","Male",71,"Australia","No Religion","Working","Major City","30,001-35,000","4500"
"153","1681035","2019","Postgraduate","Male",71,"Australia","Anglican","Middle","Large Country Town","90,001-100,000","4740"
"154","1686678","2019","Associate Diploma","Female",47,"Australia","Anglican","Working","Major City","80,001-90,000","4213"
"155","1687027","2019","Undergraduate","Male",71,"Australia","No Religion","Middle","Major City",">180,000","4300"
"156","1689789","2019","Associate Diploma","Male",54,"Australia","Roman Catholic","Working","Major City","80,001-90,000","4152"
"157","1689995","2019","Non-Trade","Female",60,"Australia","Non-Christian Other","Middle","Small Country Town","90,001-100,000","4805"
"158","1691928","2019","Associate Diploma","Female",69,"Australia","Christian","Middle","Large Town","20,001-25,000","4020"
"159","1697458","2019","Non-Trade","Female",83,"Australia","Buddhist","Working","Rural","<10,000","4552"
"160","1701620","2019","Associate Diploma","Female",52,"ESB","Anglican","Middle","Major City",">180,000","4151"
"161","1704046","2019","Associate Diploma","Male",73,"Australia","Roman Catholic","Middle","Major City","100,001-110,000","4819"
"162","1706073","2019","Postgraduate","Male",70,"ESB","Roman Catholic","Middle","Major City","25,001-30,000","4870"
"163","1729126","2019","Bachelor","Male",67,"Australia","Anglican","Middle","Major City","130,001-140,000","4217"
"164","1735779","2019","Postgraduate","Female",42,"ESB","No Religion","Middle","Major City",">180,000","4020"
"165","1740267","2019","Associate Diploma","Female",54,"Australia","Roman Catholic","Middle","Major City",">180,000","4113"
"166","1742302","2019","Associate Diploma","Female",48,"Australia","No Religion","Working","Large Town","60,001-70,000","4570"
"167","1747499","2019","Associate Diploma","Female",46,"Australia","Anglican","Working","Large Town","100,001-110,000","4817"
"168","1748747","2019","No Qualification","Female",75,"Australia","Anglican","Middle","Major City","90,001-100,000","4169"
"169","1749109","2019","Associate Diploma","Male",68,"Australia","Roman Catholic","Middle","Small Country Town","100,001-110,000","4880"
"170","1750440","2019","Postgraduate","Female",66,"Australia","Anglican","Middle","Major City","15,001-20,000","4060"
"171","1752133","2019","Bachelor","Male",66,"ESB","No Religion","Middle","Major City","100,001-110,000","4810"
"172","1758553","2019","Bachelor","Female",62,"Australia","No Religion","Middle","Large Town","35,001-40,000","4655"
"173","1759978","2019","No Qualification","Female",70,"Australia","No Religion","Working","Rural","30,001-35,000","4621"
"174","1760029","2019","No Qualification","Female",70,"Australia","Anglican","None","Major City","50,001-60,000","4208"
"175","1775487","2019","Associate Diploma","Female",38,"Australia","Anglican","Middle","Major City",">180,000","4350"
"176","1777048","2019","Non-Trade","Female",68,"Australia","Pentecostalism","Middle","Major City","60,001-70,000","4152"
"177","1797045","2019","Associate Diploma","Female",52,"Australia","No Religion","Middle","Major City",">180,000","4054"
"178","1799144","2019","No Qualification","Male",72,"Australia","Roman Catholic","None","Small Country Town","10,001-15,000","4580"
"179","1803289","2019","Trade","Male",82,"ESB","Anglican","Working","Major City","40,001-45,000","4216"
"180","1806096","2019","No Qualification","Male",87,"Australia","Anglican","Working","Major City","10,001-15,000","4165"
"181","1811836","2019","Bachelor","Male",55,"Australia","Methodist","Middle","Major City","35,001-40,000","4814"
"182","1816877","2019","Bachelor","Male",74,"ESB","No Religion","Middle","Small Country Town","40,001-45,000","4802"
"183","1823836","2019","Postgraduate","Male",39,"ESB","Non-Christian Other","Middle","Rural","50,001-60,000","4124"
"184","1828263","2019","No Qualification","Male",78,"ESB","No Religion","Middle","Major City","20,001-25,000","4215"
"185","1832974","2019","No Qualification","Female",70,"Australia","Christian","Middle","Major City","50,001-60,000","4558"
"186","1835571","2019","Non-Trade","Male",60,"Australia","Seventh Day Adventist","Working","Major City","70,001-80,000","4500"
"187","1838076","2019","Non-Trade","Female",68,"NESB","Anglican","Middle","Major City","80,001-90,000","4500"
"188","1838452","2019","Trade","Male",79,"Australia","Anglican","Middle","Small Country Town","80,001-90,000","4352"
"189","1842316","2019","Bachelor","Male",60,"Australia","Roman Catholic","Middle","Major City","50,001-60,000","4170"
"190","1848614","2019","No Qualification","Male",57,"Australia","Anglican","Working","Large Town",">180,000","4502"
"191","1852621","2019","Non-Trade","Male",71,"Australia","No Religion","Working","Rural","25,001-30,000","4615"
"192","1863881","2019","Postgraduate","Female",32,"Australia","No Religion","Middle","Major City","150,001-160,000","4124"
"193","1869543","2019","No Qualification","Female",73,"Australia","Pentecostalism","None","Large Town","25,001-30,000","4556"
"194","1875910","2019","Non-Trade","Female",33,"Australia","No Religion","Middle","Major City","130,001-140,000","4818"
"195","1883561","2019","Bachelor","Male",39,"Australia","No Religion","Middle","Major City","140,001-150,000","4053"
"196","1884092","2019","Bachelor","Female",22,"Australia","No Religion","Middle","Major City","45,001-50,000","4017"
"197","1892486","2019","Non-Trade","Female",35,"Australia","Non-Christian Other","Working","Rural","60,001-70,000","4723"
"198","1908132","2019","Bachelor","Male",35,"Australia","No Religion","Middle","Large Town","100,001-110,000","4352"
"199","1925038","2019","No Qualification","Female",72,"ESB","Jewish","Working","Major City","10,001-15,000","4215"
"200","1936381","2019","Non-Trade","Male",55,"Australia","Presbyterian","Working","Major City","70,001-80,000","4105"
"201","1936540","2019","Bachelor","Male",28,"Australia","No Religion","Middle","Major City","80,001-90,000","4030"
"202","1937649","2019","No Qualification","Female",69,"Australia","Anglican","Middle","Major City","45,001-50,000","4078"
"203","1940897","2019","No Qualification","Female",40,"Australia","No Religion","Working","Major City","110,001-120,000","4012"
"204","1947637","2019","Postgraduate","Female",35,"Australia","No Religion","Upper","Rural",">180,000","4169"
"205","1958758","2019","Postgraduate","Female",66,"ESB","Methodist","Middle","Major City","20,001-25,000","4305"
"206","1971029","2019","Non-Trade","Female",56,"Australia","No Religion","Middle","Major City","70,001-80,000","5020"
"207","1972940","2019","No Qualification","Female",59,"ESB","No Religion","Working","Large Town","50,001-60,000","5600"
"208","1974575","2019","Associate Diploma","Female",71,"Australia","No Religion","Middle","Major City","40,001-45,000","5051"
"209","1977759","2019","Bachelor","Male",67,"Australia","Anglican","Middle","Major City","80,001-90,000","5016"
"210","1979034","2019","No Qualification","Male",50,"Australia","Roman Catholic","Working","Major City","10,001-15,000","5073"
"211","1980007","2019","No Qualification","Male",84,"ESB","Anglican","Working","Major City","35,001-40,000","5034"
"212","1981075","2019","Bachelor","Female",61,"Australia","Anglican","Middle","Major City","50,001-60,000","5073"
"213","1981513","2019","Undergraduate","Female",52,"Australia","Lutheran","Middle","Major City","70,001-80,000","5162"
"214","1984008","2019","No Qualification","Male",65,"Australia","No Religion","None","Rural","20,001-25,000","5269"
"215","1988411","2019","Trade","Male",73,"Australia","No Religion","Working","Small Country Town","10,001-15,000","5242"
"216","1991598","2019","Trade","Female",61,"Australia","No Religion","Working","Major City","90,001-100,000","5112"
"217","2004371","2019","Bachelor","Female",70,"Australia","Pentecostalism","Middle","Major City","60,001-70,000","5159"
"218","2004856","2019","No Qualification","Male",70,"Australia","Methodist","Middle","Small Country Town",">180,000","5271"
"219","2006342","2019","Postgraduate","Male",45,"Australia","No Religion","Middle","Major City","90,001-100,000","5031"
"220","2018310","2019","Trade","Male",55,"Australia","Roman Catholic","Working","Rural","90,001-100,000","5353"
"221","2022156","2019","Bachelor","Male",35,"Australia","No Religion","Working","Major City","100,001-110,000","5016"
"222","2028780","2019","Bachelor","Female",36,"Australia","Christian","Middle","Major City",">180,000","5086"
"223","2035663","2019","Trade","Male",70,"Australia","Anglican","Middle","Large Country Town","10,001-15,000","5251"
"224","2038670","2019","No Qualification","Male",59,"Australia","No Religion","Middle","Small Country Town","110,001-120,000","5291"
"225","2043793","2019","Bachelor","Female",47,"Australia","No Religion","Working","Major City","90,001-100,000","5031"
"226","2048686","2019","Associate Diploma","Female",63,"Australia","Non-Christian Other","Working","Major City","40,001-45,000","5126"
"227","2051787","2019","Undergraduate","Male",42,"Australia","Roman Catholic","Middle","Major City",">180,000","5167"
"228","2053961","2019","Undergraduate","Male",54,"Australia","No Religion","Middle","Rural","20,001-25,000","5214"
"229","2061271","2019","Bachelor","Female",44,"Australia","No Religion","Middle","Major City","160,001-180,000","5008"
"230","2062273","2019","Postgraduate","Male",83,"Australia","No Religion","Middle","Rural","50,001-60,000","5118"
"231","2067263","2019","Postgraduate","Male",90,"NESB","Non-Christian Other","Middle","Major City","160,001-180,000","5065"
"232","2068598","2019","No Qualification","Male",52,"ESB","No Religion","Working","Major City","110,001-120,000","5108"
"233","2069868","2019","No Qualification","Female",45,"Australia","Roman Catholic","Working","Rural","50,001-60,000","5607"
"234","2073815","2019","Postgraduate","Female",28,"Australia","No Religion","Middle","Major City","160,001-180,000","5072"
"235","2075012","2019","Postgraduate","Female",41,"Australia","Roman Catholic","Middle","Major City",">180,000","5024"
"236","2078757","2019","Postgraduate","Female",39,"Australia","Methodist","Middle","Major City",">180,000","5067"
"237","2081271","2019","Associate Diploma","Male",70,"Australia","Methodist","Working","Major City","50,001-60,000","5169"
"238","2082569","2019","Trade","Female",56,"NESB","No Religion","Middle","Major City","70,001-80,000","5052"
"239","2083724","2019","Non-Trade","Other",23,"Australia","No Religion","None","Major City","50,001-60,000","5161"
"240","2086326","2019","Postgraduate","Female",42,"Australia","No Religion","Middle","Major City","160,001-180,000","5062"
"241","2093533","2019","Trade","Male",47,"ESB","Presbyterian","Middle","Major City",">180,000","5169"
"242","2093668","2019","No Qualification","Female",53,"NESB","Christian","None","Large Town","40,001-45,000","5115"
"243","2100221","2019","Non-Trade","Male",82,"Australia","No Religion","None","Small Country Town","15,001-20,000","7253"
"244","2100616","2019","Trade","Female",56,"Australia","Methodist","Working","Small Country Town","110,001-120,000","7170"
"245","2102964","2019","Trade","Male",58,"Australia","Anglican","Working","Small Country Town","160,001-180,000","7253"
"246","2108115","2019","Bachelor","Female",51,"Australia","Roman Catholic","Middle","Major City","80,001-90,000","7011"
"247","2109409","2019","Associate Diploma","Male",57,"Australia","Roman Catholic","Middle","Small Country Town","140,001-150,000","7140"
"248","2109553","2019","Postgraduate","Male",67,"Australia","No Religion","None","Rural","50,001-60,000","7253"
"249","2111006","2019","Bachelor","Male",65,"Australia","No Religion","Middle","Rural","110,001-120,000","7109"
"250","2111705","2019","Associate Diploma","Female",70,"Australia","Anglican","Middle","Major City","60,001-70,000","7015"
"251","2113887","2019","Trade","Female",28,"Australia","No Religion","Working","Rural","100,001-110,000","7140"
"252","2115262","2019","Associate Diploma","Female",73,"Australia","No Religion","Middle","Large Town","20,001-25,000","7249"
"253","2118348","2019","No Qualification","Male",23,"Australia","Christian","Middle","Major City","30,001-35,000","7008"
"254","2120841","2019","No Qualification","Male",23,"Australia","No Religion","Middle","Major City","130,001-140,000","7008"
"255","2123063","2019","Associate Diploma","Male",71,"NESB","Methodist","Middle","Large Town","60,001-70,000","7277"
"256","2132137","2019","No Qualification","Female",21,"Australia","Roman Catholic","Working","Large Country Town","45,001-50,000","7325"
"257","2133725","2019","No Qualification","Female",60,"Australia","Roman Catholic","Working","Rural","35,001-40,000","7190"
"258","2136632","2019","No Qualification","Female",43,"Australia","No Religion","Working","Major City","100,001-110,000","7030"
"259","2138555","2019","No Qualification","Male",83,"Australia","Anglican","Working","Major City","10,001-15,000","3033"
"260","2143481","2019","Bachelor","Male",71,"ESB","No Religion","Middle","Small Country Town","30,001-35,000","3016"
"261","2143754","2019","No Qualification","Male",80,"Australia","Anglican","Middle","Large Country Town","10,001-15,000","3850"
"262","2146822","2019","Trade","Female",72,"Australia","Methodist","Middle","Major City","60,001-70,000","3079"
"263","2152958","2019","Bachelor","Female",66,"Australia","Roman Catholic","Middle","Small Country Town","120,001-130,000","3758"
"264","2159384","2019","Postgraduate","Male",72,"Australia","No Religion","Middle","Major City","50,001-60,000","3139"
"265","2160080","2019","Postgraduate","Female",62,"Australia","Methodist","Middle","Major City","130,001-140,000","3094"
"266","2162197","2019","No Qualification","Female",75,"Australia","No Religion","None","Major City","10,001-15,000","3205"
"267","2166494","2019","Associate Diploma","Female",73,"Australia","No Religion","None","Major City","100,001-110,000","3192"
"268","2171536","2019","Bachelor","Male",73,"Australia","No Religion","Middle","Rural","50,001-60,000","3213"
