"","Respondent_ID_2016","year","vote_house","importance_taxation","importance_immigration","importance_education","importance_environment","importance_debt","importance_health","importance_refugees","importance_climate","importance_superannuation","importance_economy","party_taxation","party_immigration","party_education","party_environment","party_debt","party_health","party_refugees","party_climate","party_superannuation","party_economy","issue_importance","issue_importance2","qualifications","sex","age","birth_country","religion","social_class","living_status","annual_income","PCODE"
"11","1057519","2019","Labor","Not Very Important","Quite Important","Extremely Important","Extremely Important","Quite Important","Extremely Important","Extremely Important","Extremely Important","Quite Important","Quite Important","Labor","Labor","Labor","Labor","Labor","Labor","Labor","Labor","No Difference","Labor","Climate","Education","Bachelor","Male",70,"Australia","No Religion","Middle","Major City","130,001-140,000","2226"
"12","1066261","2016","Labor","Quite Important","Extremely Important","Extremely Important","Quite Important","Quite Important","Extremely Important","Extremely Important","Quite Important","Quite Important","Extremely Important","Liberal","Liberal","Labor","Labor","Liberal","Labor","Labor","Liberal","Liberal","Labor","Refugees","Health","Trade","Male",81,"Australia","Methodist","Working","Large Town","35,001-40,000","2747"
"13","1079868","2016","Labor","Not Very Important","Extremely Important","Extremely Important","Extremely Important","Not Very Important","Extremely Important","Extremely Important","Extremely Important","Not Very Important","Quite Important","Labor","Labor","Labor","Labor","No Difference","Labor","Labor","Labor","Labor","No Difference","Environment","Refugees","Postgraduate","Female",70,"Australia","No Religion","Middle","Major City","50,001-60,000","2226"
"14","1079868","2019","Labor","Quite Important","Extremely Important","Extremely Important","Extremely Important","Not Very Important","Extremely Important","Extremely Important","Extremely Important","Not Very Important","Extremely Important","Labor","Labor","Labor","Labor","No Difference","Labor","Labor","Labor","Labor","Labor","Climate","Environment","Postgraduate","Female",73,"Australia","No Religion","Middle","Major City","30,001-35,000","2226"
"15","1081058","2019","Labor","Quite Important","Extremely Important","Extremely Important","Extremely Important","Quite Important","Extremely Important","Extremely Important","Extremely Important","Quite Important","Quite Important","Labor","Labor","Labor","Labor","Liberal","Labor","Labor","Labor","Labor","Liberal","Environment","Climate","Non-Trade","Female",79,"Australia","Roman Catholic","Working","Major City","35,001-40,000","2120"
"16","1082118","2019","Labor","Not Very Important","Quite Important","Extremely Important","Extremely Important","Not Very Important","Extremely Important","Quite Important","Quite Important","Extremely Important","Quite Important","Labor","Labor","Labor","Labor","Labor","Labor","Labor","Labor","Labor","Labor","Education","Health","Undergraduate","Female",61,"Australia","Anglican","Middle","Major City",">180,000","2283"
"17","1083397","2016","Labor","Quite Important","Quite Important","Quite Important","Quite Important","Not Very Important","Extremely Important","Quite Important","Quite Important","Extremely Important","Quite Important","Labor","No Difference","Labor","Liberal","Labor","Labor","No Difference","Labor","Labor","Labor","Taxation","Superannuation","No Qualification","Male",69,"Australia","Roman Catholic","Working","Major City","50,001-60,000","2210"
"18","1091480","2016","Labor","Extremely Important","Quite Important","Quite Important","Not Very Important","Extremely Important","Extremely Important","Quite Important","Not Very Important","Extremely Important","Extremely Important","No Difference","No Difference","No Difference","No Difference","No Difference","No Difference","No Difference","No Difference","No Difference","No Difference","Superannuation","Debt","No Qualification","Male",54,"Australia","Anglican","Middle","Major City","60,001-70,000","2212"
"19","1095056","2016","Labor","Quite Important","Extremely Important","Extremely Important","Quite Important","Quite Important","Extremely Important","Extremely Important","Quite Important","Quite Important","Quite Important","Labor","Labor","Labor","No Difference","No Difference","Labor","Labor","No Difference","No Difference","No Difference","Health","Economy","Associate Diploma","Male",73,"NESB","Roman Catholic","Middle","Large Town","15,001-20,000","2761"
"20","1097808","2019","Labor","Quite Important","Extremely Important","Extremely Important","Extremely Important","Quite Important","Extremely Important","Extremely Important","Extremely Important","Quite Important","Quite Important","Liberal","Labor","Labor","Labor","Labor","Labor","Labor","Labor","Labor","Labor","Climate","Education","Postgraduate","Female",67,"Australia","Roman Catholic","Middle","Small Country Town","80,001-90,000","2428"
"21","1104798","2016","Labor","Extremely Important","Extremely Important","Extremely Important","Quite Important","Not Very Important","Extremely Important","Extremely Important","Quite Important","Not Very Important","Quite Important","Labor","No Difference","Labor","Labor","Labor","Labor","Labor","Labor","Labor","Labor","Refugees","Education","Undergraduate","Female",55,"Australia","No Religion","Middle","Major City","150,001-160,000","2193"
"22","1104798","2019","Labor","Quite Important","Not Very Important","Extremely Important","Extremely Important","Not Very Important","Extremely Important","Extremely Important","Extremely Important","Not Very Important","Quite Important","Labor","Labor","Labor","Labor","Labor","Labor","Labor","Labor","Labor","Labor","Climate","Refugees","Associate Diploma","Female",58,"Australia","No Religion","Middle","Major City","70,001-80,000","2193"
"23","1122863","2016","Labor","Quite Important","Quite Important","Quite Important","Extremely Important","Not Very Important","Quite Important","Quite Important","Extremely Important","Not Very Important","Quite Important","No Difference","No Difference","Labor","No Difference","No Difference","Labor","No Difference","No Difference","No Difference","No Difference","Environment","Climate","Non-Trade","Female",64,"Australia","Non-Christian Other","Middle","Large Country Town","130,001-140,000","2541"
"24","1122863","2019","Labor","Not Very Important","Quite Important","Quite Important","Extremely Important","Quite Important","Quite Important","Quite Important","Extremely Important","Not Very Important","Quite Important","No Difference","No Difference","No Difference","Labor","No Difference","Labor","No Difference","No Difference","No Difference","Labor","Climate","Environment","Trade","Female",67,"Australia","Other","Middle","Large Country Town","120,001-130,000","2541"
"25","1132308","2016","Labor","Quite Important","Extremely Important","Extremely Important","Quite Important","Quite Important","Extremely Important","Extremely Important","Quite Important","Extremely Important","Extremely Important","Labor","Labor","Labor","No Difference","No Difference","Labor","Labor","No Difference","Labor","No Difference","Health","Economy","Undergraduate","Female",56,"Australia","Roman Catholic","Working","Small Country Town","80,001-90,000","2464"
"26","1165893","2019","Labor","Not Very Important","Quite Important","Quite Important","Extremely Important","Not Very Important","Quite Important","Quite Important","Extremely Important","Quite Important","Quite Important","Liberal","Labor","Labor","Labor","No Difference","Labor","Labor","Labor","No Difference","Liberal","Environment","Climate","Undergraduate","Male",59,"Australia","Roman Catholic","None","Major City","100,001-110,000","2036"
"27","1179941","2016","Labor","Not Very Important","Not Very Important","Quite Important","Quite Important","Not Very Important","Quite Important","Quite Important","Quite Important","Not Very Important","Quite Important","Labor","Labor","Labor","Labor","Labor","Labor","Labor","Labor","Labor","Labor","Education","Environment","Postgraduate","Female",70,"Australia","Anglican","Middle","Small Country Town","20,001-25,000","2548"
"28","1179941","2019","Labor","Quite Important","Not Very Important","Quite Important","Extremely Important","Quite Important","Quite Important","Not Very Important","Extremely Important","Quite Important","Quite Important","Labor","Labor","Labor","Labor","Labor","Labor","Labor","Labor","Labor","Labor","Environment","Climate","Postgraduate","Female",73,"Australia","Anglican","Middle","Small Country Town","20,001-25,000","2548"
"29","1190841","2016","Labor","Quite Important","Quite Important","Extremely Important","Extremely Important","Not Very Important","Extremely Important","Quite Important","Quite Important","Quite Important","Extremely Important","Labor","No Difference","Labor","Labor","No Difference","Labor","No Difference","Labor","Liberal","Labor","Economy","Superannuation","Associate Diploma","Male",60,"Australia","Roman Catholic","Middle","Major City","90,001-100,000","2154"
"30","1190841","2019","Labor","Quite Important","Quite Important","Extremely Important","Quite Important","Quite Important","Extremely Important","Quite Important","Extremely Important","Quite Important","Quite Important","Labor","No Difference","Labor","Labor","Labor","Labor","Labor","Labor","Labor","Labor","Health","Education","Associate Diploma","Male",63,"Australia","Roman Catholic","Middle","Major City","100,001-110,000","2154"
"31","1192099","2016","Labor","Extremely Important","Quite Important","Extremely Important","Quite Important","Quite Important","Extremely Important","Quite Important","Quite Important","Extremely Important","Quite Important","No Difference","No Difference","Labor","No Difference","No Difference","Labor","No Difference","No Difference","Labor","No Difference","Superannuation","Refugees","Bachelor","Male",53,"NESB","Roman Catholic","Working","Major City","140,001-150,000","2200"
"32","1195872","2016","Labor","Quite Important","Quite Important","Extremely Important","Extremely Important","Quite Important","Extremely Important","Quite Important","Extremely Important","Quite Important","Extremely Important","Labor","Labor","Labor","Labor","Labor","Labor","Labor","Labor","Labor","Labor","Health","Education","No Qualification","Female",49,"Australia","Anglican","Working","Large Country Town","100,001-110,000","2754"
"33","1199293","2016","Labor","Extremely Important","Extremely Important","Extremely Important","Extremely Important","Not Very Important","Extremely Important","Quite Important","Extremely Important","Quite Important","Quite Important","Labor","Labor","Labor","Labor","No Difference","Labor","Labor","Labor","No Difference","No Difference","Health","Refugees","Bachelor","Male",60,"Australia","No Religion","Middle","Major City",">180,000","2085"
"34","1199293","2019","Labor","Quite Important","Quite Important","Extremely Important","Extremely Important","Quite Important","Extremely Important","Quite Important","Extremely Important","Extremely Important","Quite Important","No Difference","Labor","Labor","Labor","No Difference","Labor","No Difference","Labor","Liberal","No Difference","Climate","Superannuation","Bachelor","Male",63,"Australia","No Religion","Middle","Major City",">180,000","2085"
"35","1202142","2016","Labor","Extremely Important","Extremely Important","Quite Important","Extremely Important","Extremely Important","Quite Important","Extremely Important","Extremely Important","Quite Important","Extremely Important","No Difference","No Difference","No Difference","No Difference","No Difference","No Difference","No Difference","No Difference","No Difference","No Difference","Taxation","Debt","No Qualification","Male",71,"NESB","Methodist","Working","Rural","80,001-90,000","2469"
"36","1234096","2016","Labor","Quite Important","Not Very Important","Not Very Important","Not Very Important","Not Very Important","Extremely Important","Not Very Important","Not Very Important","Extremely Important","Extremely Important","Labor","Labor","Labor","Labor","Labor","Labor","Labor","Labor","Labor","Labor","Health","Superannuation","Non-Trade","Male",47,"NESB","Orthodox","Middle","Large Town","120,001-130,000","2530"
"37","1239458","2019","Labor","Quite Important","Not Very Important","Quite Important","Extremely Important","Extremely Important","Not Very Important","Not Very Important","Extremely Important","Quite Important","Extremely Important","Liberal","Labor","Liberal","Labor","Labor","Liberal","No Difference","Labor","Liberal","Liberal","Climate","Economy","Bachelor","Male",50,"Australia","Roman Catholic","Middle","Major City",">180,000","2007"
"38","1242126","2016","Labor","Quite Important","Not Very Important","Extremely Important","Extremely Important","Quite Important","Extremely Important","Quite Important","Extremely Important","Quite Important","Extremely Important","Liberal","No Difference","Labor","Liberal","Liberal","Labor","No Difference","Labor","Labor","Liberal","Environment","Education","Postgraduate","Male",52,"ESB","No Religion","None","Major City","120,001-130,000","2203"
"39","1242126","2019","Labor","Quite Important","Quite Important","Extremely Important","Extremely Important","Not Very Important","Extremely Important","Not Very Important","Extremely Important","Extremely Important","Extremely Important","Labor","No Difference","Labor","Labor","No Difference","No Difference","No Difference","Labor","No Difference","No Difference","Education","Climate","Postgraduate","Male",55,"ESB","No Religion","Middle","Major City","120,001-130,000","2203"
"40","1243597","2016","Labor","Extremely Important","Quite Important","Extremely Important","Extremely Important","Not Very Important","Extremely Important","Quite Important","Extremely Important","Extremely Important","Extremely Important","No Difference","No Difference","Labor","Labor","No Difference","Labor","No Difference","No Difference","No Difference","No Difference","Economy","Climate","Bachelor","Male",40,"Australia","No Religion","Middle","Major City","150,001-160,000","2010"
"41","1245751","2019","Labor","Extremely Important","Quite Important","Extremely Important","Extremely Important","Quite Important","Extremely Important","Quite Important","Extremely Important","Quite Important","Quite Important","Labor","Labor","Labor","Labor","No Difference","Labor","No Difference","Labor","No Difference","No Difference","Environment","Taxation","Associate Diploma","Female",48,"Australia","No Religion","Working","Large Town","35,001-40,000","2283"
"42","1267732","2016","Labor","Not Very Important","Quite Important","Quite Important","Extremely Important","Not Very Important","Quite Important","Extremely Important","Extremely Important","Quite Important","Quite Important","No Difference","No Difference","No Difference","No Difference","No Difference","No Difference","No Difference","No Difference","No Difference","No Difference","Environment","Climate","Postgraduate","Male",55,"Australia","Roman Catholic","Middle","Large Town","120,001-130,000","2480"
"43","1267732","2019","Labor","Quite Important","Quite Important","Extremely Important","Extremely Important","Quite Important","Quite Important","Extremely Important","Extremely Important","Extremely Important","Quite Important","Liberal","Liberal","Liberal","Labor","Liberal","Labor","Labor","Labor","Liberal","Liberal","Environment","Climate","Postgraduate","Male",58,"Australia","Roman Catholic","Working","Large Town","60,001-70,000","2480"
"44","1275150","2016","Labor","Extremely Important","Not Very Important","Extremely Important","Extremely Important","Not Very Important","Extremely Important","Extremely Important","Extremely Important","Extremely Important","Extremely Important","Labor","No Difference","Labor","Labor","Labor","Labor","Labor","Labor","Labor","Labor","Education","Health","Bachelor","Female",50,"Australia","No Religion","Working","Major City","60,001-70,000","2152"
"45","1275150","2019","Labor","Extremely Important","Not Very Important","Extremely Important","Extremely Important","Not Very Important","Extremely Important","Not Very Important","Extremely Important","Extremely Important","Extremely Important","Labor","Labor","Labor","Labor","Labor","Labor","Labor","Labor","Labor","Labor","Education","Health","Bachelor","Female",53,"Australia","No Religion","Working","Major City","100,001-110,000","2152"
"46","1298569","2016","Labor","Extremely Important","Extremely Important","Extremely Important","Extremely Important","Extremely Important","Extremely Important","Quite Important","Extremely Important","Extremely Important","Extremely Important","Labor","Labor","Labor","Labor","Labor","Labor","Labor","Labor","Labor","Labor","Health","Education","Trade","Female",67,"NESB","Non-Christian Other","Working","Large Town","100,001-110,000","2763"
"47","1299617","2019","Labor","Quite Important","Extremely Important","Quite Important","Extremely Important","Not Very Important","Extremely Important","Extremely Important","Extremely Important","Extremely Important","Quite Important","Labor","Labor","Labor","Labor","No Difference","Labor","Labor","Labor","No Difference","Labor","Taxation","Health","Bachelor","Female",42,"Australia","Roman Catholic","Middle","Major City","130,001-140,000","2223"
"48","1317792","2016","Labor","Quite Important","Quite Important","Extremely Important","Extremely Important","Not Very Important","Quite Important","Not Very Important","Quite Important","Quite Important","Quite Important","No Difference","No Difference","No Difference","No Difference","No Difference","No Difference","No Difference","No Difference","No Difference","No Difference","Education","Economy","Trade","Male",69,"Australia","No Religion","Middle","Rural","25,001-30,000","2540"
"49","1317792","2019","Labor","Quite Important","Quite Important","Quite Important","Extremely Important","Not Very Important","Extremely Important","Not Very Important","Quite Important","Not Very Important","Quite Important","Labor","Liberal","Labor","Labor","No Difference","Labor","Liberal","Labor","Labor","Labor","Health","Environment","Trade","Male",72,"Australia","No Religion","Middle","Rural","20,001-25,000","2540"
"50","1321638","2016","Labor","Extremely Important","Extremely Important","Extremely Important","Extremely Important","Not Very Important","Extremely Important","Extremely Important","Extremely Important","Extremely Important","Quite Important","No Difference","No Difference","Labor","Labor","No Difference","Labor","No Difference","Labor","Labor","Labor","Education","Economy","Postgraduate","Male",53,"ESB","No Religion","Upper","Major City",">180,000","2001"
"51","1350392","2016","Labor","Not Very Important","Extremely Important","Extremely Important","Extremely Important","Not Very Important","Extremely Important","Extremely Important","Extremely Important","Quite Important","Quite Important","Labor","No Difference","Labor","Labor","No Difference","Labor","No Difference","No Difference","Labor","Labor","Health","Education","Postgraduate","Female",55,"Australia","No Religion","Middle","Large Town","70,001-80,000","2304"
"52","1375254","2016","Labor","Quite Important","Quite Important","Extremely Important","Extremely Important","Quite Important","Extremely Important","Not Very Important","Not Very Important","Quite Important","Quite Important","No Difference","No Difference","Liberal","Labor","Liberal","Labor","No Difference","No Difference","Liberal","No Difference","Health","Taxation","Trade","Male",65,"Australia","Anglican","Working","Rural","10,001-15,000","2317"
"53","1382497","2019","Labor","Quite Important","Quite Important","Extremely Important","Extremely Important","Not Very Important","Quite Important","Extremely Important","Extremely Important","Quite Important","Quite Important","Labor","Labor","Labor","Labor","Labor","Labor","Labor","Labor","Labor","Labor","Climate","Environment","Bachelor","Male",24,"Australia","No Religion","Middle","Major City","120,001-130,000","2170"
"54","1386485","2019","Labor","Quite Important","Quite Important","Extremely Important","Extremely Important","Quite Important","Quite Important","Quite Important","Extremely Important","Not Very Important","Quite Important","Labor","Labor","Labor","Labor","Labor","Labor","Labor","Labor","Labor","Labor","Climate","Environment","Postgraduate","Male",56,"Australia","No Religion","Middle","Small Country Town","160,001-180,000","2456"
"55","1389851","2016","Labor","Extremely Important","Extremely Important","Extremely Important","Not Very Important","Quite Important","Extremely Important","Extremely Important","Not Very Important","Extremely Important","Quite Important","No Difference","Liberal","Labor","No Difference","No Difference","Labor","Liberal","No Difference","Labor","No Difference","Taxation","Health","Bachelor","Male",65,"ESB","Anglican","Working","Small Country Town","35,001-40,000","2731"
"56","1432791","2016","Labor","Quite Important","Extremely Important","Extremely Important","Extremely Important","Quite Important","Extremely Important","Extremely Important","Quite Important","Quite Important","Quite Important","Liberal","No Difference","Labor","Labor","Liberal","Labor","No Difference","Labor","No Difference","No Difference","Economy","Refugees","Bachelor","Male",36,"Australia","Christian","Middle","Large Town","140,001-150,000","2320"
"57","1435933","2019","Labor","Extremely Important","Not Very Important","Extremely Important","Extremely Important","Not Very Important","Extremely Important","Not Very Important","Extremely Important","Extremely Important","Extremely Important","Labor","Labor","Labor","Labor","Labor","Labor","Labor","Labor","Labor","Labor","Economy","Environment","No Qualification","Male",21,"Australia","No Religion","Middle","Large Town","15,001-20,000","2477"
"58","1438038","2019","Labor","Quite Important","Quite Important","Extremely Important","Extremely Important","Quite Important","Extremely Important","Extremely Important","Extremely Important","Extremely Important","Extremely Important","No Difference","Labor","Labor","Labor","Labor","Labor","Labor","Labor","Labor","Labor","Climate","Health","Associate Diploma","Male",73,"Australia","No Religion","Middle","Large Country Town","30,001-35,000","2594"
"59","1440482","2016","Labor","Not Very Important","Extremely Important","Extremely Important","Extremely Important","Quite Important","Extremely Important","Extremely Important","Extremely Important","Quite Important","Extremely Important","Labor","Labor","Labor","Labor","No Difference","Labor","No Difference","Labor","Labor","Labor","Refugees","Economy","Undergraduate","Male",65,"Australia","Roman Catholic","Middle","Major City","70,001-80,000","2040"
"60","1440482","2019","Labor","Quite Important","Extremely Important","Quite Important","Extremely Important","Extremely Important","Extremely Important","Extremely Important","Extremely Important","Quite Important","Extremely Important","Labor","Labor","Labor","Labor","No Difference","Labor","No Difference","Labor","Labor","Labor","Refugees","Environment","Associate Diploma","Male",68,"Australia","Roman Catholic","Middle","Large Town","80,001-90,000","2040"
"61","1455811","2016","Labor","Quite Important","Quite Important","Extremely Important","Extremely Important","Quite Important","Extremely Important","Quite Important","Extremely Important","Extremely Important","Quite Important","No Difference","No Difference","No Difference","No Difference","No Difference","Labor","No Difference","No Difference","No Difference","No Difference","Economy","Refugees","Bachelor","Male",41,"NESB","Anglican","Working","Large Country Town","45,001-50,000","2760"
"62","1460002","2016","Labor","Quite Important","Not Very Important","Extremely Important","Extremely Important","Not Very Important","Extremely Important","Quite Important","Extremely Important","Quite Important","Not Very Important","Labor","No Difference","Labor","Labor","No Difference","Labor","No Difference","Labor","Labor","No Difference","Education","Climate","Postgraduate","Male",73,"ESB","Non-Christian Other","Middle","Major City","60,001-70,000","2756"
"63","1473954","2016","Labor","Quite Important","Quite Important","Extremely Important","Extremely Important","Not Very Important","Extremely Important","Extremely Important","Extremely Important","Extremely Important","Quite Important","Labor","Labor","Labor","Labor","Labor","Labor","Labor","Labor","Labor","Labor","Education","Environment","Associate Diploma","Male",50,"Australia","Anglican","Working","Large Town","140,001-150,000","2529"
"64","1473954","2019","Labor","Extremely Important","Extremely Important","Extremely Important","Extremely Important","Quite Important","Extremely Important","Extremely Important","Extremely Important","Extremely Important","Extremely Important","Labor","Labor","Labor","Labor","Labor","Labor","Labor","Labor","Labor","Labor","Environment","Education","Associate Diploma","Male",53,"Australia","No Religion","Working","Large Town","160,001-180,000","2529"
"65","1475630","2016","Labor","Extremely Important","Quite Important","Extremely Important","Extremely Important","Quite Important","Quite Important","Quite Important","Extremely Important","Not Very Important","Quite Important","Labor","Labor","Labor","Labor","No Difference","Labor","No Difference","Labor","Labor","Labor","Education","Economy","No Qualification","Male",55,"Australia","No Religion","Middle","Rural",">180,000","2450"
"66","1475630","2019","Labor","Extremely Important","Quite Important","Extremely Important","Extremely Important","Extremely Important","Extremely Important","Extremely Important","Extremely Important","Not Very Important","Extremely Important","Labor","No Difference","Labor","Labor","Labor","Labor","Labor","Labor","No Difference","Labor","Climate","Taxation","No Qualification","Male",58,"Australia","No Religion","Middle","Rural","150,001-160,000","2450"
"67","1483389","2019","Labor","Extremely Important","Extremely Important","Extremely Important","Extremely Important","Extremely Important","Extremely Important","Extremely Important","Extremely Important","Quite Important","Extremely Important","Labor","Labor","Labor","Labor","Labor","Labor","No Difference","Labor","Labor","Labor","Climate","Taxation","Postgraduate","Female",71,"Australia","No Religion","Middle","Small Country Town","20,001-25,000","2646"
"68","1486907","2019","Labor","Extremely Important","Not Very Important","Extremely Important","Extremely Important","Quite Important","Extremely Important","Not Very Important","Extremely Important","Extremely Important","Quite Important","Labor","Labor","Labor","Labor","Labor","Labor","Labor","Labor","Labor","Labor","Environment","Economy","No Qualification","Male",27,"Australia","No Religion","Working","Large Town","35,001-40,000","2650"
"69","1490242","2016","Labor","Quite Important","Quite Important","Extremely Important","Extremely Important","Quite Important","Extremely Important","Extremely Important","Extremely Important","Quite Important","Quite Important","Labor","Labor","Labor","Labor","Labor","Labor","Labor","Labor","Labor","Labor","Refugees","Education","Postgraduate","Male",28,"Australia","No Religion","Working","Major City","15,001-20,000","2031"
"70","1490242","2019","Labor","Quite Important","Not Very Important","Quite Important","Extremely Important","Quite Important","Extremely Important","Quite Important","Extremely Important","Quite Important","Extremely Important","Labor","Labor","Labor","Labor","Labor","Labor","Labor","Labor","Labor","Labor","Climate","Environment","Postgraduate","Male",31,"Australia","No Religion","Middle","Major City","20,001-25,000","2031"
"71","1507666","2016","Labor","Quite Important","Quite Important","Quite Important","Extremely Important","Not Very Important","Quite Important","Quite Important","Extremely Important","Quite Important","Quite Important","Liberal","No Difference","Labor","Labor","Liberal","Labor","No Difference","Labor","Liberal","Liberal","Climate","Environment","Bachelor","Male",34,"Australia","No Religion","Middle","Major City","150,001-160,000","2130"
"72","1509419","2019","Labor","Quite Important","Extremely Important","Extremely Important","Extremely Important","Quite Important","Extremely Important","Extremely Important","Extremely Important","Not Very Important","Quite Important","Labor","Labor","Labor","Labor","Labor","Labor","Labor","Labor","Labor","Labor","Climate","Refugees","Bachelor","Female",62,"Australia","No Religion","Middle","Rural","40,001-45,000","2550"
"73","1513630","2019","Labor","Quite Important","Not Very Important","Extremely Important","Extremely Important","Quite Important","Extremely Important","Not Very Important","Extremely Important","Quite Important","Extremely Important","Labor","No Difference","Labor","Labor","No Difference","Labor","No Difference","No Difference","No Difference","Labor","Education","Climate","Postgraduate","Male",45,"Australia","No Religion","Middle","Small Country Town","120,001-130,000","2594"
"74","1530344","2016","Labor","Quite Important","Not Very Important","Extremely Important","Extremely Important","Quite Important","Extremely Important","Quite Important","Extremely Important","Not Very Important","Quite Important","Labor","No Difference","Labor","No Difference","Liberal","Labor","No Difference","No Difference","No Difference","Liberal","Health","Climate","Bachelor","Male",37,"Australia","No Religion","Upper","Major City",">180,000","2011"
"75","1530344","2019","Labor","Quite Important","Not Very Important","Quite Important","Extremely Important","Quite Important","Quite Important","Quite Important","Extremely Important","Not Very Important","Quite Important","Liberal","No Difference","Labor","Labor","Liberal","Labor","No Difference","Labor","No Difference","Liberal","Climate","Environment","Bachelor","Male",40,"Australia","No Religion","Middle","Major City",">180,000","2011"
"76","1532581","2019","Labor","Extremely Important","Extremely Important","Extremely Important","Quite Important","Not Very Important","Quite Important","Quite Important","Quite Important","Quite Important","Quite Important","Liberal","Liberal","Labor","Labor","Liberal","No Difference","Labor","Labor","Liberal","Labor","Taxation","Superannuation","Bachelor","Female",24,"Australia","No Religion","Middle","Major City","80,001-90,000","2630"
"77","1533886","2016","Labor","Quite Important","Quite Important","Extremely Important","Quite Important","Quite Important","Quite Important","Quite Important","Quite Important","Quite Important","Extremely Important","Labor","No Difference","Labor","Labor","Liberal","Labor","Labor","Labor","Labor","Liberal","Economy","Education","Bachelor","Female",61,"Australia","Methodist","Working","Small Country Town","100,001-110,000","2400"
"78","1533886","2019","Labor","Extremely Important","Quite Important","Extremely Important","Extremely Important","Extremely Important","Extremely Important","Quite Important","Extremely Important","Extremely Important","Extremely Important","Labor","Labor","Liberal","Labor","Liberal","Labor","Labor","Labor","Liberal","Liberal","Health","Education","Bachelor","Female",64,"Australia","Presbyterian","Working","Large Country Town","80,001-90,000","2400"
