"","Respondent_ID_2016","year","vote_house","importance_taxation","importance_immigration","importance_education","importance_environment","importance_debt","importance_health","importance_refugees","importance_climate","importance_superannuation","importance_economy","party_taxation","party_immigration","party_education","party_environment","party_debt","party_health","party_refugees","party_climate","party_superannuation","party_economy","issue_importance","issue_importance2","secondpref","qualifications","sex","age","birth_country","religion","social_class","living_status","annual_income","PCODE"
"22","1082118","2019","Labor","Not Very Important","Quite Important","Extremely Important","Extremely Important","Not Very Important","Extremely Important","Quite Important","Quite Important","Extremely Important","Quite Important","Labor","Labor","Labor","Labor","Labor","Labor","Labor","Labor","Labor","Labor","Education","Health",NA,"Undergraduate","Female",61,"Australia","Anglican","Middle","Major City",">180,000","2283"
"23","1091480","2016","Labor","Extremely Important","Quite Important","Quite Important","Not Very Important","Extremely Important","Extremely Important","Quite Important","Not Very Important","Extremely Important","Extremely Important","No Difference","No Difference","No Difference","No Difference","No Difference","No Difference","No Difference","No Difference","No Difference","No Difference","Superannuation","Debt",NA,"No Qualification","Male",54,"Australia","Anglican","Middle","Major City","60,001-70,000","2212"
"24","1091741","2016","Liberal","Quite Important","Quite Important","Extremely Important","Extremely Important","Quite Important","Extremely Important","Quite Important","Quite Important","Extremely Important","Quite Important","Liberal","Liberal","Liberal","Liberal","Liberal","Liberal","Liberal","Liberal","Liberal","Liberal","Health","Superannuation",NA,"Non-Trade","Female",62,"Australia","Roman Catholic","Working","Major City","30,001-35,000","2518"
"25","1091741","2019","Liberal","Quite Important","Quite Important","Quite Important","Quite Important","Quite Important","Extremely Important","Quite Important","Extremely Important","Extremely Important","Extremely Important","Liberal","Liberal","Liberal","Liberal","Liberal","Liberal","Liberal","Labor","Liberal","Liberal","Health","Economy",NA,"No Qualification","Female",65,"Australia","Roman Catholic","Working","Large Town","100,001-110,000","2518"
"26","1092276","2016","Liberal","Extremely Important","Extremely Important","Extremely Important","Quite Important","Extremely Important","Not Very Important","Extremely Important","Not Very Important","Not Very Important","Extremely Important","No Difference","No Difference","Labor","No Difference","Liberal","No Difference","No Difference","No Difference","Liberal","Liberal","Economy","Superannuation",NA,"Undergraduate","Female",57,"Australia","Anglican","None","Major City",">180,000","2135"
"27","1092276","2019","Liberal","Extremely Important","Quite Important","Extremely Important","Not Very Important","Extremely Important","Quite Important","Not Very Important","Not Very Important","Extremely Important","Extremely Important","Liberal","Liberal","Liberal","No Difference","Liberal","Liberal","Liberal","No Difference","Liberal","Liberal","Debt","Superannuation",NA,"Undergraduate","Female",60,"Australia","Anglican","Middle","Major City",">180,000","2135"
"28","1095056","2016","Labor","Quite Important","Extremely Important","Extremely Important","Quite Important","Quite Important","Extremely Important","Extremely Important","Quite Important","Quite Important","Quite Important","Labor","Labor","Labor","No Difference","No Difference","Labor","Labor","No Difference","No Difference","No Difference","Health","Economy",NA,"Associate Diploma","Male",73,"NESB","Roman Catholic","Middle","Large Town","15,001-20,000","2761"
"29","1097808","2019","Labor","Quite Important","Extremely Important","Extremely Important","Extremely Important","Quite Important","Extremely Important","Extremely Important","Extremely Important","Quite Important","Quite Important","Liberal","Labor","Labor","Labor","Labor","Labor","Labor","Labor","Labor","Labor","Climate","Education",NA,"Postgraduate","Female",67,"Australia","Roman Catholic","Middle","Small Country Town","80,001-90,000","2428"
"30","1102794","2016","Liberal","Quite Important","Extremely Important","Extremely Important","Not Very Important","Extremely Important","Extremely Important","Extremely Important","Quite Important","Extremely Important","Extremely Important","Liberal","Liberal","No Difference","No Difference","Liberal","Liberal","Liberal","No Difference","No Difference","Liberal","Debt","Economy",NA,"Trade","Male",51,"Australia","Anglican","Working","Large Town","<10,000","2529"
"31","1103514","2016","Liberal","Not Very Important","Not Very Important","Extremely Important","Extremely Important","Extremely Important","Extremely Important","Quite Important","Extremely Important","Not Very Important","Extremely Important","Labor","Liberal","Liberal","Liberal","Liberal","Labor","Liberal","Liberal","Labor","Liberal","Education","Health",NA,"Bachelor","Male",69,"NESB","Orthodox","Middle","Major City","15,001-20,000","2206"
"32","1103514","2019","Liberal","Quite Important","Extremely Important","Extremely Important","Extremely Important","Extremely Important","Extremely Important","Extremely Important","Extremely Important","Quite Important","Extremely Important","Labor","Labor","Liberal","Liberal","Liberal","Liberal","Liberal","Labor","Labor","Liberal","Environment","Debt",NA,"Bachelor","Male",72,"NESB","Orthodox","Working","Major City","30,001-35,000","2206"
"33","1104798","2016","Greens","Extremely Important","Extremely Important","Extremely Important","Quite Important","Not Very Important","Extremely Important","Extremely Important","Quite Important","Not Very Important","Quite Important","Labor","No Difference","Labor","Labor","Labor","Labor","Labor","Labor","Labor","Labor","Refugees","Education","Labor","Undergraduate","Female",55,"Australia","No Religion","Middle","Major City","150,001-160,000","2193"
"34","1104798","2019","Greens","Quite Important","Not Very Important","Extremely Important","Extremely Important","Not Very Important","Extremely Important","Extremely Important","Extremely Important","Not Very Important","Quite Important","Labor","Labor","Labor","Labor","Labor","Labor","Labor","Labor","Labor","Labor","Climate","Refugees","Labor","Associate Diploma","Female",58,"Australia","No Religion","Middle","Major City","70,001-80,000","2193"
"35","1105476","2016","Liberal","Quite Important","Extremely Important","Quite Important","Not Very Important","Quite Important","Quite Important","Quite Important","Not Very Important","Quite Important","Extremely Important","Liberal","Liberal","No Difference","No Difference","Liberal","Liberal","Liberal","No Difference","Liberal","Liberal","Economy","Health",NA,"Trade","Female",92,"Australia","Methodist","Working","Rural","100,001-110,000","2707"
"36","1116861","2016","Liberal","Quite Important","Not Very Important","Quite Important","Not Very Important","Not Very Important","Quite Important","Quite Important","Not Very Important","Extremely Important","Quite Important","Liberal","No Difference","Labor","No Difference","Liberal","Labor","No Difference","No Difference","No Difference","Liberal","Superannuation","Health",NA,"Associate Diploma","Male",49,"Australia","Roman Catholic","Working","Rural","160,001-180,000","2847"
"37","1118330","2016","Liberal","Extremely Important","Extremely Important","Extremely Important","Extremely Important","Extremely Important","Extremely Important","Extremely Important","Extremely Important","Extremely Important","Quite Important","No Difference","Liberal","Labor","No Difference","Liberal","Liberal","Liberal","No Difference","Liberal","Liberal","Health","Superannuation",NA,"Trade","Female",74,"Australia","No Religion","Working","Large Town","25,001-30,000","2526"
"38","1122863","2016","Greens","Quite Important","Quite Important","Quite Important","Extremely Important","Not Very Important","Quite Important","Quite Important","Extremely Important","Not Very Important","Quite Important","No Difference","No Difference","Labor","No Difference","No Difference","Labor","No Difference","No Difference","No Difference","No Difference","Environment","Climate","Labor","Non-Trade","Female",64,"Australia","Non-Christian Other","Middle","Large Country Town","130,001-140,000","2541"
"39","1122863","2019","Greens","Not Very Important","Quite Important","Quite Important","Extremely Important","Quite Important","Quite Important","Quite Important","Extremely Important","Not Very Important","Quite Important","No Difference","No Difference","No Difference","Labor","No Difference","Labor","No Difference","No Difference","No Difference","Labor","Climate","Environment","Labor","Trade","Female",67,"Australia","Other","Middle","Large Country Town","120,001-130,000","2541"
"40","1127625","2016","Liberal","Extremely Important","Extremely Important","Extremely Important","Quite Important","Quite Important","Extremely Important","Extremely Important","Quite Important","Extremely Important","Extremely Important","Liberal","Liberal","No Difference","No Difference","No Difference","No Difference","Liberal","No Difference","No Difference","No Difference","Superannuation","Economy",NA,"Associate Diploma","Male",62,"Australia","Anglican","Working","Major City","90,001-100,000","2153"
"41","1127625","2019","Liberal","Extremely Important","Not Very Important","Extremely Important","Not Very Important","Quite Important","Extremely Important","Not Very Important","Not Very Important","Extremely Important","Extremely Important","Liberal","Liberal","Liberal","Liberal","Liberal","Liberal","Liberal","Liberal","Liberal","Liberal","Superannuation","Taxation",NA,"Associate Diploma","Male",65,"Australia","Anglican","Working","Major City","90,001-100,000","2153"
"42","1130303","2016","National","Extremely Important","Extremely Important","Extremely Important","Quite Important","Extremely Important","Quite Important","Extremely Important","Quite Important","Extremely Important","Extremely Important","Liberal","No Difference","Liberal","Liberal","Liberal","Liberal","No Difference","Liberal","No Difference","Liberal","Economy","Immigration",NA,"Postgraduate","Male",76,"Australia","Baptist","Middle","Large Country Town","90,001-100,000","2430"
"43","1130303","2019","National","Quite Important","Not Very Important","Quite Important","Quite Important","Quite Important","Quite Important","Quite Important","Quite Important","Extremely Important","Extremely Important","Liberal","No Difference","Liberal","Liberal","Liberal","Liberal","No Difference","Liberal","Liberal","Liberal","Superannuation","Economy",NA,"Postgraduate","Male",79,"Australia","Baptist","Middle","Large Country Town","160,001-180,000","2430"
"44","1132308","2016","Labor","Quite Important","Extremely Important","Extremely Important","Quite Important","Quite Important","Extremely Important","Extremely Important","Quite Important","Extremely Important","Extremely Important","Labor","Labor","Labor","No Difference","No Difference","Labor","Labor","No Difference","Labor","No Difference","Health","Economy",NA,"Undergraduate","Female",56,"Australia","Roman Catholic","Working","Small Country Town","80,001-90,000","2464"
"45","1132313","2016","Liberal","Not Very Important","Extremely Important","Quite Important","Quite Important","Extremely Important","Quite Important","Extremely Important","Not Very Important","Quite Important","Extremely Important","Liberal","Liberal","No Difference","No Difference","Liberal","Liberal","Liberal","No Difference","Liberal","Liberal","Debt","Refugees",NA,"Associate Diploma","Male",73,"Australia","Anglican","Working","Major City","40,001-45,000","2210"
"46","1132313","2019","Liberal","Quite Important","Extremely Important","Quite Important","Quite Important","Extremely Important","Quite Important","Extremely Important","Not Very Important","Extremely Important","Extremely Important","Liberal","Liberal","Liberal","Liberal","Liberal","Liberal","Liberal","Liberal","Liberal","Liberal","Health","Superannuation",NA,"Trade","Male",76,"Australia","Anglican","Working","Major City","50,001-60,000","2210"
"47","1164353","2016","Liberal","Extremely Important","Quite Important","Extremely Important","Quite Important","Quite Important","Quite Important","Quite Important","Quite Important","Quite Important","Extremely Important","Liberal","Liberal","No Difference","No Difference","Liberal","Liberal","No Difference","No Difference","Liberal","Liberal","Education","Superannuation",NA,"Non-Trade","Male",50,"Australia","Roman Catholic","Middle","Major City",">180,000","2280"
"48","1165893","2019","Labor","Not Very Important","Quite Important","Quite Important","Extremely Important","Not Very Important","Quite Important","Quite Important","Extremely Important","Quite Important","Quite Important","Liberal","Labor","Labor","Labor","No Difference","Labor","Labor","Labor","No Difference","Liberal","Environment","Climate",NA,"Undergraduate","Male",59,"Australia","Roman Catholic","None","Major City","100,001-110,000","2036"
"49","1175588","2016","Greens","Quite Important","Quite Important","Quite Important","Quite Important","Quite Important","Quite Important","Quite Important","Quite Important","Quite Important","Quite Important","Liberal","Labor","Liberal","Labor","Liberal","Labor","Labor","No Difference","No Difference","No Difference","Education","Health",NA,"Bachelor","Female",64,"NESB","Roman Catholic","Middle","Major City","70,001-80,000","2042"
"50","1175588","2019","Greens","Quite Important","Extremely Important","Extremely Important","Extremely Important","Quite Important","Extremely Important","Extremely Important","Extremely Important","Quite Important","Quite Important","No Difference","Labor","No Difference","No Difference","No Difference","No Difference","Labor","No Difference","No Difference","No Difference","Climate","Taxation",NA,"Bachelor","Female",67,"NESB","Roman Catholic","Working","Major City","90,001-100,000","2042"
"51","1179941","2016","Labor","Not Very Important","Not Very Important","Quite Important","Quite Important","Not Very Important","Quite Important","Quite Important","Quite Important","Not Very Important","Quite Important","Labor","Labor","Labor","Labor","Labor","Labor","Labor","Labor","Labor","Labor","Education","Environment",NA,"Postgraduate","Female",70,"Australia","Anglican","Middle","Small Country Town","20,001-25,000","2548"
"52","1179941","2019","Labor","Quite Important","Not Very Important","Quite Important","Extremely Important","Quite Important","Quite Important","Not Very Important","Extremely Important","Quite Important","Quite Important","Labor","Labor","Labor","Labor","Labor","Labor","Labor","Labor","Labor","Labor","Environment","Climate",NA,"Postgraduate","Female",73,"Australia","Anglican","Middle","Small Country Town","20,001-25,000","2548"
"53","1190841","2016","Greens","Quite Important","Quite Important","Extremely Important","Extremely Important","Not Very Important","Extremely Important","Quite Important","Quite Important","Quite Important","Extremely Important","Labor","No Difference","Labor","Labor","No Difference","Labor","No Difference","Labor","Liberal","Labor","Economy","Superannuation","Labor","Associate Diploma","Male",60,"Australia","Roman Catholic","Middle","Major City","90,001-100,000","2154"
"54","1190841","2019","Labor","Quite Important","Quite Important","Extremely Important","Quite Important","Quite Important","Extremely Important","Quite Important","Extremely Important","Quite Important","Quite Important","Labor","No Difference","Labor","Labor","Labor","Labor","Labor","Labor","Labor","Labor","Health","Education",NA,"Associate Diploma","Male",63,"Australia","Roman Catholic","Middle","Major City","100,001-110,000","2154"
"55","1192099","2016","Labor","Extremely Important","Quite Important","Extremely Important","Quite Important","Quite Important","Extremely Important","Quite Important","Quite Important","Extremely Important","Quite Important","No Difference","No Difference","Labor","No Difference","No Difference","Labor","No Difference","No Difference","Labor","No Difference","Superannuation","Refugees",NA,"Bachelor","Male",53,"NESB","Roman Catholic","Working","Major City","140,001-150,000","2200"
"56","1192099","2019","Liberal","Extremely Important","Quite Important","Extremely Important","Quite Important","Extremely Important","Extremely Important","Quite Important","Quite Important","Extremely Important","Extremely Important","Liberal","Liberal","Liberal","Liberal","Liberal","Liberal","Liberal","Liberal","Liberal","Liberal","Superannuation","Economy",NA,"Postgraduate","Male",56,"NESB","Roman Catholic","Working","Major City","150,001-160,000","2200"
"57","1195872","2016","Labor","Quite Important","Quite Important","Extremely Important","Extremely Important","Quite Important","Extremely Important","Quite Important","Extremely Important","Quite Important","Extremely Important","Labor","Labor","Labor","Labor","Labor","Labor","Labor","Labor","Labor","Labor","Health","Education",NA,"No Qualification","Female",49,"Australia","Anglican","Working","Large Country Town","100,001-110,000","2754"
"58","1199293","2016","Labor","Extremely Important","Extremely Important","Extremely Important","Extremely Important","Not Very Important","Extremely Important","Quite Important","Extremely Important","Quite Important","Quite Important","Labor","Labor","Labor","Labor","No Difference","Labor","Labor","Labor","No Difference","No Difference","Health","Refugees",NA,"Bachelor","Male",60,"Australia","No Religion","Middle","Major City",">180,000","2085"
"59","1199293","2019","Labor","Quite Important","Quite Important","Extremely Important","Extremely Important","Quite Important","Extremely Important","Quite Important","Extremely Important","Extremely Important","Quite Important","No Difference","Labor","Labor","Labor","No Difference","Labor","No Difference","Labor","Liberal","No Difference","Climate","Superannuation",NA,"Bachelor","Male",63,"Australia","No Religion","Middle","Major City",">180,000","2085"
"60","1202010","2016","National","Not Very Important","Extremely Important","Quite Important","Quite Important","Extremely Important","Extremely Important","Extremely Important","Not Very Important","Quite Important","Extremely Important","Liberal","Liberal","No Difference","Liberal","No Difference","No Difference","Liberal","No Difference","No Difference","Liberal","Health","Refugees",NA,"Associate Diploma","Male",75,"Australia","Roman Catholic","Middle","Small Country Town","25,001-30,000","4818"
"61","1202142","2016","Greens","Extremely Important","Extremely Important","Quite Important","Extremely Important","Extremely Important","Quite Important","Extremely Important","Extremely Important","Quite Important","Extremely Important","No Difference","No Difference","No Difference","No Difference","No Difference","No Difference","No Difference","No Difference","No Difference","No Difference","Taxation","Debt","Labor","No Qualification","Male",71,"NESB","Methodist","Working","Rural","80,001-90,000","2469"
"62","1220558","2019","Liberal","Extremely Important","Extremely Important","Quite Important","Not Very Important","Quite Important","Quite Important","Not Very Important","Not Very Important","Extremely Important","Extremely Important","No Difference","No Difference","Liberal","No Difference","No Difference","Liberal","Liberal","Liberal","Liberal","Liberal","Economy","Taxation",NA,"No Qualification","Male",62,"NESB","No Religion","Middle","Major City","50,001-60,000","2063"
"63","1230452","2019","Liberal","Quite Important","Quite Important","Not Very Important","Quite Important","Quite Important","Quite Important","Not Very Important","Quite Important","Not Very Important","Extremely Important","Labor","No Difference","No Difference","No Difference","Liberal","Labor","No Difference","No Difference","No Difference","Liberal","Economy","Health",NA,"Postgraduate","Male",58,"NESB","No Religion","Working","Major City","50,001-60,000","2077"
"64","1232714","2019","Liberal","Extremely Important","Quite Important","Extremely Important","Extremely Important","Not Very Important","Extremely Important","Quite Important","Extremely Important","Extremely Important","Extremely Important","Liberal","Liberal","Liberal","Liberal","Liberal","Liberal","Liberal","Liberal","Liberal","Liberal","Superannuation","Taxation",NA,"Non-Trade","Female",57,"Australia","Anglican","Working","Major City","70,001-80,000","2320"
"65","1234096","2016","Labor","Quite Important","Not Very Important","Not Very Important","Not Very Important","Not Very Important","Extremely Important","Not Very Important","Not Very Important","Extremely Important","Extremely Important","Labor","Labor","Labor","Labor","Labor","Labor","Labor","Labor","Labor","Labor","Health","Superannuation",NA,"Non-Trade","Male",47,"NESB","Orthodox","Middle","Large Town","120,001-130,000","2530"
"66","1239458","2016","Liberal","Extremely Important","Extremely Important","Not Very Important","Extremely Important","Extremely Important","Quite Important","Not Very Important","Quite Important","Quite Important","Quite Important","Liberal","Liberal","Liberal","Labor","Liberal","No Difference","Liberal","Labor","No Difference","Liberal","Taxation","Debt",NA,"Bachelor","Male",47,"Australia","Roman Catholic","Middle","Major City",">180,000","2007"
"67","1239458","2019","Labor","Quite Important","Not Very Important","Quite Important","Extremely Important","Extremely Important","Not Very Important","Not Very Important","Extremely Important","Quite Important","Extremely Important","Liberal","Labor","Liberal","Labor","Labor","Liberal","No Difference","Labor","Liberal","Liberal","Climate","Economy",NA,"Bachelor","Male",50,"Australia","Roman Catholic","Middle","Major City",">180,000","2007"
"68","1242126","2016","Labor","Quite Important","Not Very Important","Extremely Important","Extremely Important","Quite Important","Extremely Important","Quite Important","Extremely Important","Quite Important","Extremely Important","Liberal","No Difference","Labor","Liberal","Liberal","Labor","No Difference","Labor","Labor","Liberal","Environment","Education","Labor","Postgraduate","Male",52,"ESB","No Religion","None","Major City","120,001-130,000","2203"
"69","1242126","2019","Labor","Quite Important","Quite Important","Extremely Important","Extremely Important","Not Very Important","Extremely Important","Not Very Important","Extremely Important","Extremely Important","Extremely Important","Labor","No Difference","Labor","Labor","No Difference","No Difference","No Difference","Labor","No Difference","No Difference","Education","Climate",NA,"Postgraduate","Male",55,"ESB","No Religion","Middle","Major City","120,001-130,000","2203"
"70","1243597","2016","Greens","Extremely Important","Quite Important","Extremely Important","Extremely Important","Not Very Important","Extremely Important","Quite Important","Extremely Important","Extremely Important","Extremely Important","No Difference","No Difference","Labor","Labor","No Difference","Labor","No Difference","No Difference","No Difference","No Difference","Economy","Climate","Labor","Bachelor","Male",40,"Australia","No Religion","Middle","Major City","150,001-160,000","2010"
"71","1245751","2019","Labor","Extremely Important","Quite Important","Extremely Important","Extremely Important","Quite Important","Extremely Important","Quite Important","Extremely Important","Quite Important","Quite Important","Labor","Labor","Labor","Labor","No Difference","Labor","No Difference","Labor","No Difference","No Difference","Environment","Taxation",NA,"Associate Diploma","Female",48,"Australia","No Religion","Working","Large Town","35,001-40,000","2283"
"72","1267681","2019","Liberal","Extremely Important","Extremely Important","Quite Important","Quite Important","Extremely Important","Extremely Important","Quite Important","Quite Important","Quite Important","Extremely Important","Liberal","Liberal","Liberal","Liberal","Liberal","Liberal","Liberal","Liberal","Liberal","Liberal","Economy","Debt",NA,"Bachelor","Male",80,"ESB","No Religion","Middle","Major City","25,001-30,000","2516"
"73","1267732","2016","Greens","Not Very Important","Quite Important","Quite Important","Extremely Important","Not Very Important","Quite Important","Extremely Important","Extremely Important","Quite Important","Quite Important","No Difference","No Difference","No Difference","No Difference","No Difference","No Difference","No Difference","No Difference","No Difference","No Difference","Environment","Climate","Labor","Postgraduate","Male",55,"Australia","Roman Catholic","Middle","Large Town","120,001-130,000","2480"
"74","1267732","2019","Greens","Quite Important","Quite Important","Extremely Important","Extremely Important","Quite Important","Quite Important","Extremely Important","Extremely Important","Extremely Important","Quite Important","Liberal","Liberal","Liberal","Labor","Liberal","Labor","Labor","Labor","Liberal","Liberal","Environment","Climate","Labor","Postgraduate","Male",58,"Australia","Roman Catholic","Working","Large Town","60,001-70,000","2480"
"75","1275150","2016","Labor","Extremely Important","Not Very Important","Extremely Important","Extremely Important","Not Very Important","Extremely Important","Extremely Important","Extremely Important","Extremely Important","Extremely Important","Labor","No Difference","Labor","Labor","Labor","Labor","Labor","Labor","Labor","Labor","Education","Health",NA,"Bachelor","Female",50,"Australia","No Religion","Working","Major City","60,001-70,000","2152"
