"","Respondent_ID_2016","year","qualifications","sex","age","birth_country","religion","social_class","living_status","annual_income","PCODE"
"106","1175588","2016","Bachelor","Female",64,"NESB","Roman Catholic","Middle","Major City","70,001-80,000","2042"
"107","1179941","2019","Postgraduate","Female",73,"Australia","Anglican","Middle","Small Country Town","20,001-25,000","2548"
"108","1179941","2016","Postgraduate","Female",70,"Australia","Anglican","Middle","Small Country Town","20,001-25,000","2548"
"109","1190841","2016","Associate Diploma","Male",60,"Australia","Roman Catholic","Middle","Major City","90,001-100,000","2154"
"110","1190841","2019","Associate Diploma","Male",63,"Australia","Roman Catholic","Middle","Major City","100,001-110,000","2154"
"111","1192099","2019","Postgraduate","Male",56,"NESB","Roman Catholic","Working","Major City","150,001-160,000","2200"
"112","1192099","2016","Bachelor","Male",53,"NESB","Roman Catholic","Working","Major City","140,001-150,000","2200"
"114","1195872","2016","No Qualification","Female",49,"Australia","Anglican","Working","Large Country Town","100,001-110,000","2754"
"115","1199145","2019","Bachelor","Other",50,"Australia","Roman Catholic","Middle","Major City",">180,000","2101"
"116","1199145","2016","Bachelor","Female",47,"Australia","Roman Catholic","Middle","Major City",">180,000","2101"
"117","1199293","2016","Bachelor","Male",60,"Australia","No Religion","Middle","Major City",">180,000","2085"
"118","1199293","2019","Bachelor","Male",63,"Australia","No Religion","Middle","Major City",">180,000","2085"
"119","1202010","2019","Associate Diploma","Male",78,"Australia","Roman Catholic","Middle","Major City","15,001-20,000","4818"
"120","1202010","2016","Associate Diploma","Male",75,"Australia","Roman Catholic","Middle","Small Country Town","25,001-30,000","4818"
"121","1202142","2019","Non-Trade","Male",74,"NESB","Methodist","Working","Rural","45,001-50,000","2469"
"122","1202142","2016","No Qualification","Male",71,"NESB","Methodist","Working","Rural","80,001-90,000","2469"
"123","1220558","2019","No Qualification","Male",62,"NESB","No Religion","Middle","Major City","50,001-60,000","2063"
"124","1220558","2016","No Qualification","Male",59,"NESB","No Religion","Middle","Major City","80,001-90,000","2063"
"125","1230452","2019","Postgraduate","Male",58,"NESB","No Religion","Working","Major City","50,001-60,000","2077"
"126","1230452","2016","Postgraduate","Male",55,"NESB","No Religion","None","Major City","40,001-45,000","2077"
"127","1232714","2019","Non-Trade","Female",57,"Australia","Anglican","Working","Major City","70,001-80,000","2320"
"128","1232714","2016","No Qualification","Female",54,"Australia","Anglican","Working","Large Town","70,001-80,000","2320"
"129","1234096","2019","No Qualification","Male",50,"NESB","Orthodox","Working","Large Town","100,001-110,000","2530"
"130","1234096","2016","Non-Trade","Male",47,"NESB","Orthodox","Middle","Large Town","120,001-130,000","2530"
"131","1239458","2019","Bachelor","Male",50,"Australia","Roman Catholic","Middle","Major City",">180,000","2007"
"132","1239458","2016","Bachelor","Male",47,"Australia","Roman Catholic","Middle","Major City",">180,000","2007"
"133","1240935","2019","Postgraduate","Male",52,"Australia","Christian","Middle","Major City",">180,000","2121"
"134","1240935","2016","Undergraduate","Male",49,"Australia","Christian","Middle","Major City",">180,000","2121"
"135","1242126","2016","Postgraduate","Male",52,"ESB","No Religion","None","Major City","120,001-130,000","2203"
"136","1242126","2019","Postgraduate","Male",55,"ESB","No Religion","Middle","Major City","120,001-130,000","2203"
"137","1243597","2019","Bachelor","Male",41,"Australia","No Religion","Middle","Major City",">180,000","2010"
"138","1243597","2016","Bachelor","Male",40,"Australia","No Religion","Middle","Major City","150,001-160,000","2010"
"139","1245751","2019","Associate Diploma","Female",48,"Australia","No Religion","Working","Large Town","35,001-40,000","2283"
"140","1245751","2016","Associate Diploma","Female",45,"Australia","No Religion","Working","Major City","40,001-45,000","2283"
"141","1267681","2019","Bachelor","Male",80,"ESB","No Religion","Middle","Major City","25,001-30,000","2516"
"142","1267681","2016","Bachelor","Male",77,"ESB","No Religion","Middle","Major City","30,001-35,000","2516"
"143","1267732","2016","Postgraduate","Male",55,"Australia","Roman Catholic","Middle","Large Town","120,001-130,000","2480"
"144","1267732","2019","Postgraduate","Male",58,"Australia","Roman Catholic","Working","Large Town","60,001-70,000","2480"
"145","1275150","2019","Bachelor","Female",53,"Australia","No Religion","Working","Major City","100,001-110,000","2152"
"146","1275150","2016","Bachelor","Female",50,"Australia","No Religion","Working","Major City","60,001-70,000","2152"
"147","1276165","2019","Bachelor","Female",29,"Australia","Anglican","Middle","Large Town","110,001-120,000","2234"
"148","1276165","2016","Bachelor","Female",26,"Australia","Anglican","Middle","Major City","110,001-120,000","2234"
"149","1287168","2019","No Qualification","Female",79,"Australia","Anglican","Working","Large Country Town","25,001-30,000","2527"
"150","1287168","2016","Associate Diploma","Female",76,"Australia","No Religion","Working","Large Country Town","20,001-25,000","2527"
"151","1287968","2019","Non-Trade","Male",72,"Australia","Roman Catholic","Working","Major City","70,001-80,000","2170"
"152","1287968","2016","No Qualification","Male",69,"Australia","Roman Catholic","Working","Large Town","25,001-30,000","2170"
"153","1289448","2019","Bachelor","Female",45,"NESB","Orthodox","Middle","Major City","160,001-180,000","2217"
"154","1289448","2016","Bachelor","Female",42,"NESB","Orthodox","Middle","Major City","140,001-150,000","2217"
"156","1298569","2016","Trade","Female",67,"NESB","Non-Christian Other","Working","Large Town","100,001-110,000","2763"
"157","1299617","2019","Bachelor","Female",42,"Australia","Roman Catholic","Middle","Major City","130,001-140,000","2223"
"158","1299617","2016","Bachelor","Female",39,"Australia","Roman Catholic","Middle","Major City","150,001-160,000","2223"
"159","1302095","2019","Trade","Male",70,"Australia","Roman Catholic","Working","Rural","30,001-35,000","2426"
"160","1302095","2016","Trade","Male",67,"Australia","Roman Catholic","Working","Rural","30,001-35,000","2426"
"161","1303247","2016","Associate Diploma","Male",48,"Australia","Anglican","Middle","Rural","130,001-140,000","2250"
"163","1308432","2016","Postgraduate","Female",70,"ESB","No Religion","Middle","Large Country Town","60,001-70,000","2317"
"164","1308432","2019","Postgraduate","Male",76,"ESB","No Religion","None","Small Country Town","50,001-60,000","2317"
"165","1314862","2019","Bachelor","Male",66,"Australia","No Religion","Middle","Major City","90,001-100,000","2097"
"166","1314862","2016","Undergraduate","Male",63,"Australia","No Religion","None","Major City","60,001-70,000","2097"
"167","1317792","2019","Trade","Male",72,"Australia","No Religion","Middle","Rural","20,001-25,000","2540"
"168","1317792","2016","Trade","Male",69,"Australia","No Religion","Middle","Rural","25,001-30,000","2540"
"169","1321294","2016","Postgraduate","Male",36,"Australia","Orthodox","Middle","Major City","50,001-60,000","2153"
"171","1321638","2016","Postgraduate","Male",53,"ESB","No Religion","Upper","Major City",">180,000","2001"
"172","1321638","2019","Postgraduate","Male",56,"ESB","No Religion","Middle","Major City",">180,000","2001"
"173","1323851","2019","Postgraduate","Female",65,"Australia","No Religion","Middle","Major City","25,001-30,000","2282"
"174","1323851","2016","Postgraduate","Female",62,"Australia","Anglican","Middle","Major City","35,001-40,000","2282"
"177","1346571","2016","Bachelor","Male",45,"Australia","No Religion","Middle","Major City",">180,000","2097"
"178","1346571","2019","Bachelor","Male",48,"Australia","No Religion","Middle","Major City",">180,000","2097"
"179","1347731","2016","Trade","Male",70,"Australia","Baptist","Middle","Rural","70,001-80,000","2870"
"180","1347731","2019","Non-Trade","Male",63,"Australia","Baptist","Middle","Rural","20,001-25,000","2870"
"181","1349433","2019","Bachelor","Male",47,"Australia","Anglican","Middle","Rural","80,001-90,000","2680"
"182","1349433","2016","Bachelor","Male",44,"Australia","No Religion","None","Rural","70,001-80,000","2680"
"183","1350392","2019","Postgraduate","Female",58,"Australia","Christian","Middle","Large Town","60,001-70,000","2304"
"184","1350392","2016","Postgraduate","Female",55,"Australia","No Religion","Middle","Large Town","70,001-80,000","2304"
"185","1362025","2016","Postgraduate","Male",43,"Australia","Roman Catholic","Middle","Major City",">180,000","2112"
"187","1369316","2016","Non-Trade","Female",56,"Australia","Presbyterian","Working","Major City","50,001-60,000","2170"
"188","1369316","2019","Non-Trade","Female",59,"Australia","Presbyterian","Working","Major City","40,001-45,000","2170"
"189","1373216","2019","Bachelor","Female",46,"Australia","Non-Christian Other","Middle","Small Country Town","<10,000","2540"
"190","1373216","2016","Bachelor","Female",43,"Australia","Roman Catholic","Middle","Small Country Town","10,001-15,000","2540"
"191","1375254","2019","Trade","Male",68,"Australia","Anglican","Working","Large Town","45,001-50,000","2317"
"192","1375254","2016","Trade","Male",65,"Australia","Anglican","Working","Rural","10,001-15,000","2317"
"193","1377855","2016","No Qualification","Female",56,"Australia","Anglican","None","Small Country Town","20,001-25,000","2540"
"194","1377855","2019","No Qualification","Female",59,"Australia","Anglican","None","Small Country Town","20,001-25,000","2540"
"195","1382497","2016","No Qualification","Male",21,"Australia","Buddhist","Middle","Major City","45,001-50,000","2170"
"196","1382497","2019","Bachelor","Male",24,"Australia","No Religion","Middle","Major City","120,001-130,000","2170"
"197","1386485","2016","Postgraduate","Male",53,"Australia","No Religion","Middle","Small Country Town","150,001-160,000","2456"
"198","1386485","2019","Postgraduate","Male",56,"Australia","No Religion","Middle","Small Country Town","160,001-180,000","2456"
"199","1388647","2019","Trade","Male",63,"Australia","No Religion","Middle","Major City","60,001-70,000","2101"
"200","1388647","2016","Trade","Male",60,"Australia","No Religion","Working","Major City","70,001-80,000","2101"
"201","1389700","2019","Postgraduate","Male",23,"Australia","No Religion","Middle","Major City","150,001-160,000","2118"
"202","1389700","2016","Bachelor","Male",20,"Australia","No Religion","Middle","Large Town","70,001-80,000","2118"
"203","1389851","2016","Bachelor","Male",65,"ESB","Anglican","Working","Small Country Town","35,001-40,000","2731"
"204","1389851","2019","Bachelor","Male",68,"ESB","No Religion","Working","Small Country Town","30,001-35,000","2731"
"205","1406063","2016","Bachelor","Female",68,"NESB","Roman Catholic","Middle","Large Town","60,001-70,000","2320"
"206","1406063","2019","Undergraduate","Female",71,"NESB","Roman Catholic","Middle","Large Country Town","30,001-35,000","2320"
"207","1411918","2019","Bachelor","Female",23,"ESB","Muslim","Working","Major City",">180,000","2173"
"208","1411918","2016","No Qualification","Female",20,"ESB","Muslim","Middle","Major City",">180,000","2173"
"209","1413841","2019","Bachelor","Female",30,"Australia","Roman Catholic","Working","Major City","160,001-180,000","2285"
"210","1413841","2016","Bachelor","Female",27,"Australia","Roman Catholic","Middle","Major City","130,001-140,000","2285"
"211","1416344","2016","No Qualification","Female",20,"Australia","Pentecostalism","Working","Large Town","<10,000","2280"
"212","1416344","2019","Bachelor","Female",23,"Australia","No Religion","Working","Major City","50,001-60,000","2280"
"214","1422869","2019","Postgraduate","Male",85,"Australia","Christian","Middle","Major City","45,001-50,000","2112"
"217","1430618","2019","Non-Trade","Female",57,"Australia","Roman Catholic","Working","Major City","70,001-80,000","2168"
"218","1430618","2016","No Qualification","Female",54,"Australia","Roman Catholic","Working","Major City","20,001-25,000","2168"
"219","1432791","2016","Bachelor","Male",36,"Australia","Christian","Middle","Large Town","140,001-150,000","2320"
"220","1432791","2019","Bachelor","Male",39,"Australia","Christian","Middle","Major City",">180,000","2320"
"221","1435933","2016","No Qualification","Male",18,"Australia","No Religion","Working","Small Country Town","70,001-80,000","2477"
"222","1435933","2019","No Qualification","Male",21,"Australia","No Religion","Middle","Large Town","15,001-20,000","2477"
"223","1435984","2016","Non-Trade","Female",37,"NESB","No Religion","Middle","Large Town","110,001-120,000","2444"
"224","1435984","2019","Non-Trade","Female",40,"NESB","No Religion","Middle","Large Town","120,001-130,000","2444"
"225","1436532","2019","Bachelor","Female",35,"Australia","Roman Catholic","Middle","Large Town","120,001-130,000","2650"
"226","1436532","2016","Bachelor","Female",32,"Australia","Roman Catholic","Middle","Large Town","140,001-150,000","2650"
"227","1437438","2019","Bachelor","Female",40,"Australia","Anglican","Middle","Major City",">180,000","2147"
"228","1437438","2016","Bachelor","Female",37,"Australia","Anglican","Middle","Major City","160,001-180,000","2147"
"229","1438038","2016","Associate Diploma","Male",70,"Australia","No Religion","Working","Large Country Town","25,001-30,000","2594"
"230","1438038","2019","Associate Diploma","Male",73,"Australia","No Religion","Middle","Large Country Town","30,001-35,000","2594"
"231","1440482","2016","Undergraduate","Male",65,"Australia","Roman Catholic","Middle","Major City","70,001-80,000","2040"
"232","1440482","2019","Associate Diploma","Male",68,"Australia","Roman Catholic","Middle","Large Town","80,001-90,000","2040"
"233","1448762","2019","Bachelor","Male",36,"Australia","No Religion","Middle","Major City","160,001-180,000","2298"
"234","1448762","2016","Bachelor","Male",33,"Australia","No Religion","Middle","Major City","150,001-160,000","2298"
"235","1451403","2019","Bachelor","Female",36,"Australia","No Religion","Middle","Large Country Town",">180,000","2830"
"236","1451403","2016","Bachelor","Female",33,"Australia","No Religion","Middle","Large Country Town",">180,000","2830"
"237","1455811","2016","Bachelor","Male",41,"NESB","Anglican","Working","Large Country Town","45,001-50,000","2760"
"239","1460002","2016","Postgraduate","Male",73,"ESB","Non-Christian Other","Middle","Major City","60,001-70,000","2756"
"240","1460002","2019","Postgraduate","Male",76,"ESB","Non-Christian Other","Middle","Large Town","80,001-90,000","2756"
"241","1465568","2019","Associate Diploma","Female",55,"NESB","No Religion","Working","Major City","60,001-70,000","2096"
"242","1465568","2016","Associate Diploma","Female",52,"NESB","No Religion","Working","Major City","60,001-70,000","2096"
"243","1465612","2019","Undergraduate","Male",30,"Australia","Jewish","Middle","Major City","140,001-150,000","2017"
"244","1465612","2016","Postgraduate","Male",27,"Australia","Jewish","Middle","Major City","140,001-150,000","2017"
"245","1473954","2016","Associate Diploma","Male",50,"Australia","Anglican","Working","Large Town","140,001-150,000","2529"
"246","1473954","2019","Associate Diploma","Male",53,"Australia","No Religion","Working","Large Town","160,001-180,000","2529"
"247","1475630","2019","No Qualification","Male",58,"Australia","No Religion","Middle","Rural","150,001-160,000","2450"
"248","1475630","2016","No Qualification","Male",55,"Australia","No Religion","Middle","Rural",">180,000","2450"
"249","1476566","2019","Undergraduate","Female",64,"Australia","Roman Catholic","Middle","Small Country Town","90,001-100,000","2380"
"250","1476566","2016","Associate Diploma","Female",61,"Australia","Roman Catholic","Middle","Large Country Town","80,001-90,000","2380"
"251","1480341","2019","No Qualification","Female",65,"Australia","Roman Catholic","Working","Large Town","30,001-35,000","2650"
"252","1480341","2016","Non-Trade","Female",62,"Australia","Roman Catholic","Working","Large Town","35,001-40,000","2650"
"253","1483389","2016","Postgraduate","Female",68,"Australia","No Religion","Middle","Small Country Town","20,001-25,000","2646"
"254","1483389","2019","Postgraduate","Female",71,"Australia","No Religion","Middle","Small Country Town","20,001-25,000","2646"
"255","1486907","2019","No Qualification","Male",27,"Australia","No Religion","Working","Large Town","35,001-40,000","2650"
"256","1486907","2016","No Qualification","Male",24,"Australia","No Religion","Middle","Large Town","10,001-15,000","2650"
"257","1489519","2016","Non-Trade","Male",33,"Australia","No Religion","Middle","Small Country Town","160,001-180,000","2318"
"259","1490242","2016","Postgraduate","Male",28,"Australia","No Religion","Working","Major City","15,001-20,000","2031"
"260","1490242","2019","Postgraduate","Male",31,"Australia","No Religion","Middle","Major City","20,001-25,000","2031"
"261","1490665","2016","Bachelor","Male",43,"Australia","Lutheran","Middle","Large Town","160,001-180,000","2640"
"262","1490665","2019","Bachelor","Male",46,"Australia","Lutheran","Middle","Large Town",">180,000","2640"
"265","1498798","2016","Bachelor","Male",31,"NESB","Muslim","Middle","Major City","60,001-70,000","2770"
"268","1505642","2019","No Qualification","Female",83,"Australia","Salvation Army","Working","Small Country Town","<10,000","2266"
"269","1507666","2016","Bachelor","Male",34,"Australia","No Religion","Middle","Major City","150,001-160,000","2130"
"271","1509419","2019","Bachelor","Female",62,"Australia","No Religion","Middle","Rural","40,001-45,000","2550"
"272","1509419","2016","Bachelor","Female",59,"Australia","No Religion","Middle","Small Country Town","70,001-80,000","2550"
"273","1513630","2016","Postgraduate","Male",42,"Australia","No Religion","Middle","Large Country Town","90,001-100,000","2594"
"274","1513630","2019","Postgraduate","Male",45,"Australia","No Religion","Middle","Small Country Town","120,001-130,000","2594"
"275","1530344","2016","Bachelor","Male",37,"Australia","No Religion","Upper","Major City",">180,000","2011"
"276","1530344","2019","Bachelor","Male",40,"Australia","No Religion","Middle","Major City",">180,000","2011"
"277","1532581","2016","No Qualification","Female",21,"Australia","Roman Catholic","Working","Small Country Town","15,001-20,000","2630"
"278","1532581","2019","Bachelor","Female",24,"Australia","No Religion","Middle","Major City","80,001-90,000","2630"
"279","1532741","2016","No Qualification","Male",39,"Australia","Roman Catholic","Middle","Major City","110,001-120,000","2233"
"280","1532741","2019","Associate Diploma","Male",42,"Australia","Roman Catholic","Middle","Large Town","80,001-90,000","2233"
"281","1533886","2019","Bachelor","Female",64,"Australia","Presbyterian","Working","Large Country Town","80,001-90,000","2400"
"282","1533886","2016","Bachelor","Female",61,"Australia","Methodist","Working","Small Country Town","100,001-110,000","2400"
"283","1534099","2016","Postgraduate","Female",55,"Australia","No Religion","Middle","Major City",">180,000","2094"
"284","1534099","2019","Postgraduate","Female",58,"Australia","No Religion","Upper","Major City","140,001-150,000","2094"
"285","1547366","2016","Bachelor","Female",53,"Australia","Anglican","Middle","Major City","160,001-180,000","2193"
"286","1547366","2019","Bachelor","Female",56,"Australia","Anglican","Middle","Major City","160,001-180,000","2193"
"287","1552432","2016","Bachelor","Male",60,"ESB","Anglican","Middle","Major City",">180,000","2041"
"288","1552432","2019","Bachelor","Male",63,"ESB","Anglican","Middle","Major City",">180,000","2041"
"289","1565572","2019","Postgraduate","Female",45,"Australia","Roman Catholic","Middle","Major City","110,001-120,000","2042"
"290","1565572","2016","Associate Diploma","Female",42,"Australia","Roman Catholic","Middle","Major City","120,001-130,000","2042"
"291","1572867","2016","Trade","Female",61,"Australia","Roman Catholic","Working","Small Country Town","35,001-40,000","2502"
"292","1572867","2019","Trade","Female",64,"Australia","Roman Catholic","Working","Small Country Town","50,001-60,000","2502"
