year,Respondent_ID_2016,CED_AEC,CED_ABS,PANEL_FLAG,Mode,A1,A2_1,A2_2,A2_3,A2_4,A3,A4_1,A4_2,A4_3,A4_4,A4_5,A4_6,A7_1,A7_2,A7_3,A7_4,A7_5,A7_6,A7_7,A7_8,A8_1,A8_2,A8_3,A8_4,A8_5,A8_6,A8_7,A10,A11,A12,A13_1,A13_2,A13_3,A13_4,A13_5,A13_6,A13_7,A14_1,A14_4,A14_5,A14_6,B1,B1_other,B2,B3,B4,B5,B6,B7,B8_1,B8_2,B8_3,B8_4,B8_5,B9_1,B9_2,B9_1_other,B9_2_other,B10,B11_1,B11_2,B12,B13,B14,B15_1,B15_2,B15_3,B15_4,B15_5,B15_6,B15_7,B15_8,B16,B17,B18_1,B18_2,B18_3,B18_4,C1_1,C1_2,C1_5,C2_1,C2_2,C2_3,C2_4,C2_5,C2_6,C2_7,C2_8,C2_9,C4,C5,C6,C7,C8_1,C8_2,C8_3,C8_4,C8_5,C8_6,C9,C10,C11,C12,D1_1,D1_2,D1_3,D1_4,D1_5,D1_6,D1_7,D1_8,D1_9,D1_10,D2_1,D2_2,D2_3,D2_4,D2_5,D2_6,D2_7,D2_8,D2_9,D2_10,D3_1,D3_2,D4_1,D4_2,D5_1,D5_2,D6_1,D6_2,D7_1,D7_2,D8_1,D8_2,D8_3,D8_4,D8_5,D8_6,D8_7,D8_8,D8_9,D8_10,D12_1,D12_2,D13_1,D13_2,D13_3,D13_4,D13_5,D13_6,E1,E2_1,E2_2,E2_3,E2_4,E2_5,E2_6,E2_7,E3,E4,E5,E6_1,E6_2,E6_3,E6_4,E6_5,E6_6,E6_7,E7,E8_1,E8_2,F1,F2,F3,F4,F5_1,F5_2,F5_3,F5_4,F5_5,F5_6,F6_1,F6_2,F6_3,F6_4,F7,F8_1,F8_2,F8_3,F8_4,F9,F10_1,F10_2,F10_3,F10_4,F10_5,F10_6,G1_Age,G2,G3,G4,G4_other,G5_Work,G5_A,G5_B,G5_C,G5_Code,G5_D,G5_E,G5_F,G6,H1,H2,H3_1,H3_2,H3_3,H4,H5_1,H5_2,H6,H6_other,H7,H8,H9,H10,H11,H15,H16,H17,H18,H19,H20,H20_other,H21_Work,H21_A,H21_B,H21_2d,H21_4d,H22,H23,H24,H25,H25_other,H26,devicetype,detailedoutcome,Final_STATE,Final_PCODE,wt_aec,wt_enrolled,wt_gnaf
1,1023339,-99,-99,1,1,1,2,3,1,1,1,1,3,2,1,1,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,4,1,1,0,0,0,0,0,0,0,1,0,1, ,1,1,1,4,1,1,8,6,1,8,0,1,1, , ,1,997,997,2,1,1,1,0,0,0,0,0,0,0,2,2,8,0,10,0,0,6,0,2,3,3,3,2,4,2,4,4,3,1,2,4,1,2,2,2,1,1,2,1,1,2,2,2,2,2,1,1,3,2,2,1,2,2,2,2,2,2,2,2,2,2,5,10,3,4,2,1,2,1,2,1,2,3,4,3,3,3,3,3,3,4,1,2,3,1,2,4,2,5,3,3,3,1,2,3,1,3,3,4,1,3,4,2,5,3,4,5,3,3,1,3,3,1,2,3,3,2,3,3,2,2,4,3,2,3,2,2,3,3,3,1,2,2,1,2,1,17,1,6,1,-99,1,-99,-99,-99,6,3,2,1,2,1,1974,1,1,1,-99,1,1,1, ,1,2,2,1,2,2,5,15,3,1,2,-99,1,-99,-99,5,-99,2,2,2,1, ,999, ,1,8,-99,1.11980112584613,.994640029969811,0
1,1024979,-99,-99,1,2,2,4,4,4,1,2,1,2,3,3,4,4,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,2,4,1,1,1,0,1,0,0,0,0,1,0,4, ,2,1,5,2,5,3,1,10,9,10,2,4,4, , ,1,2,2,2,1,4,0,0,0,0,1,1,0,0,4,4,0,1,1,9,0,1,8,3,3,4,3,4,4,3,4,4,2,4,1,2,2,2,1,1,1,1,5,4,3,5,2,2,2,1,3,2,2,1,3,3,1,998,998,3,1,1,998,3,3,3,4,6,3,4,2,3,3,4,2,3,1,1,1,4,2,3,3,1,1,1,2,1,4,4,1,1,3,1,5,4,3,5,5,3,4,4,1,2,3,3,1,2,3,4,1,2,1,2,4,3,2,3,3,3,2,2,3,2,3,2,2,2,5,3,3,2,4,1,1,1,998,1,2,998,1,18,3,1,7,-99,1,-99,-99,-99,5,5,3,2,2,2,1987,1,1,1,-99,998,998,18, ,6,2,3,2,2,2,5,21,2,1,1,-99,1,-99,-99,2,-99,3,1,2,6, ,999,3,1,8,-99,1.89120262731955,1.14256296518884,0
1,1027502,-99,-99,1,1,4,4,4,4,4,4,4,4,4,4,4,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,4,0,0,0,0,0,1,0,0,0,1,0,6, ,997,2,2,2,3,3,3,6,6,6,5,1,1, , ,2,997,997,1,1,1,0,0,1,0,0,0,0,0,5,3,4,4,4,4,5,5,5,3,3,3,3,3,3,3,3,3,3,3,1,2,2,2,2,2,1,2,5,3,4,5,2,2,1,2,2,1,2,2,2,2,998,998,998,998,998,998,998,998,998,998,3,6,3,3,2,2,2,3,2,2,1,1,3,1,2,3,1,2,2,2,1,1,4,4,2,2,2,3,5,3,4,3,4,3,3,3,1,1,2,4,1,2,4,3,1,2,1,2,3,2,2,1,1,3,3,3,3,3,2,2,2,2,2,1,5,1,5,1,1,1,998,998,998,998,998,17,4,2,1,-99,1,-99,-99,-99,4,5,3,2,2,2,1971,1,1,1,-99,998,998,2, ,6,2,3,2,2,2,5,21,1,1,1,-99,1,-99,-99,2,-99,2,1,2,1, ,999, ,1,8,-99,.918350220123928,.693940006363509,0
1,1027706,-99,-99,1,1,2,1,3,4,3,2,1,4,4,4,4,4,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,4,1,1,0,0,0,0,0,0,0,0,0,2, ,3,2,5,2,4,2,5,3,6,2,8,2,2, , ,1,997,997,2,2,2,0,1,0,0,0,0,0,0,2,3,6,6,2,5,3,7,5,2,2,2,2,3,2,3,3,3,1,2,2,2,1,999,2,2,1,1,3,2,3,5,1,2,2,3,3,3,2,3,3,2,2,1,1,1,998,998,1,1,2,2,1,6,2,3,3,2,4,3,3,2,2,2,3,3,3,2,3,3,2,3,2,1,2,3,3,3,2,3,3,4,3,4,4,4,4,3,1,1,3,5,2,2,4,4,2,2,1,1,2,1,4,2,2,3,3,2,3,3,3,2,2,3,3,1,4,2,5,1,2,999,999,999,999,999,999,999,997,999,999,-99,1,-99,-99,-99,2,4,3,1,2,2,1988,1,1,1,-99,2,2,7, ,4,2,2,2,2,2,5,22,1,1,1,-99,1,-99,-99,9,-99,3,1,2,6, ,999, ,1,8,-99,2.00008161523293,1.66729900131419,0
1,1033013,-99,-99,1,2,2,3,2,4,3,2,1,4,4,4,4,4,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,3,4,0,0,0,0,0,1,0,0,0,1,0,6, ,997,2,5,2,4,3,4,1,7,5,5,1,1, , ,2,997,997,2,6,1,0,0,0,0,0,1,0,0,5,3,6,4,5,4,3,5,5,2,4,3,3,2,3,2,3,4,3,3,1,2,2,2,2,2,1,1,4,4,4,4,2,2,1,1,2,2,2,1,1,1,998,2,998,998,998,998,2,998,998,998,10,8,4,4,2,3,3,4,3,3,2,2,5,2,2,5,2,3,3,3,4,3,2,2,1,3,2,3,3,1,1,1,4,2,2,2,1,1,1,1,2,2,4,1,1,3,3,2,3,2,3,3,3,2,2,2,2,2,3,3,4,3,3,4,3,4,2,3,2,1,998,1,998,2,1,17,4,5,1,-99,1,-99,-99,-99,2,5,3,2,2,2,1957,3,3,3,-99,998,998,22, ,5,2,2,2,2,2,1,10,1,1,1,-99,1,-99,-99,1,-99,1,1,2,1, ,999,3,1,7,-99,1.78971071855749,1.95620601440586,0
1,1057519,-99,-99,1,2,1,1,1,3,1,1,1,1,3,3,4,4,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,4,0,1,0,0,0,0,0,0,0,0,0,2, ,3,1,1,2,4,2,5,7,5,6,2,4,26, , ,1,2,2,2,3,4,0,0,0,0,1,0,0,0,2,2,3,6,5,6,7,5,5,1,2,2,1,1,2,2,2,2,1,1,2,3,1,1,2,2,1,1,3,2,2,5,2,2,1,1,3,1,1,1,2,2,1,3,1,1,3,1,3,1,2,1,4,3,3,4,2,2,3,4,2,2,2,1,2,4,3,4,4,2,2,2,4,1,4,4,2,3,3,2,5,4,3,5,4,4,5,3,1,1,2,5,1,4,3,5,1,2,1,4,2,3,1,1,2,3,3,3,3,3,3,3,4,1,2,2,5,1,4,1,1,1,2,2,2,1,2,18,3,3,5,-99,999,-99,-99,-99,99999,999,999,999,2,1,1949,1,1,1,-99,1,1,7, ,4,2,1,1,2,4,5,21,3,1,1,-99,1,-99,-99,2,-99,1,1,2,2, ,999,3,1,1,-99,.681072997037791,.479352225024869,0
1,1059165,-99,-99,1,1,1,1,2,3,4,1,1,4,4,4,4,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,4,0,0,0,0,0,1,0,0,0,1,0,2, ,2,1,1,4,2,2,4,10,4,10,3,2,2, , ,1,997,997,1,1,2,1,0,0,0,0,0,0,0,2,1,1,9,0,5,8,2,5,2,2,2,2,3,2,2,3,2,2,2,3,3,2,2,2,2,2,2,2,1,1,5,2,2,999,3,3,1,3,3,3,2,1,3,1,3,3,1,3,3,1,1,6,1,3,3,2,2,4,3,2,3,2,2,2,3,2,3,3,999,2,2,4,3,4,4,2,3,4,3,4,3,3,4,4,3,4,3,2,4,3,5,4,3,3,4,4,2,2,2,4,3,1,2,2,3,3,3,3,3,3,3,4,2,3,4,2,2,3,2,4,1,2,2,1,1,1,18,999,2,5,-99,1,-99,-99,-99,3,1,1,1,2,1,1934,1,1,1,-99,2,2,1, ,1,2,1,2,2,2,5,12,3,1,5,-99,1,-99,-99,2,-99,3,1,1,2, ,999, ,1,1,-99,.720283252745665,.699500605578976,0
1,1066261,-99,-99,1,1,2,2,2,1,999,2,2,4,3,3,3,4,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,2,4,0,1,0,0,0,0,0,0,0,1,0,2, ,2,2,2,3,4,2,3,8,5,7,2,2,3, , ,1,997,997,2,1,1,0,0,1,0,0,0,0,0,3,2,5,5,5,2,8,5,5,2,2,2,2,2,2,2,2,2,3,2,3,2,2,2,2,1,1,2,2,2,2,2,2,1,1,2,2,1,1,2,2,1,2,2,1,1,2,1,1,2,2,1,7,6,3,3,2,2,3,3,2,2,1,1,2,2,2,2,1,2,2,2,3,3,2,999,3,3,3,2,3,3,3,4,4,3,4,4,2,2,1,2,2,2,3,3,2,2,2,1,3,1,4,1,1,3,3,3,3,3,1,3,2,2,1,3,2,2,3,2,3,1,1,2,1,1,1,15,5,6,5,-99,1,-99,-99,-99,3,4,3,1,2,1,1935,1,1,1,-99,2,2,3, ,3,2,1,2,2,3,4,7,3,1,2,-99,1,-99,-99,8,-99,3,2,2,2, ,999, ,1,1,-99,.720283252745665,.699500605578976,0
1,1078767,-99,-99,1,1,2,2,2,2,4,2,2,4,4,4,4,4,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,3,0,0,0,0,0,1,0,0,0,1,0,2, ,2,1,5,4,5,2,5,10,0,10,0,2,2, , ,1,997,997,2,6,2,0,0,0,0,0,1,0,0,5,3,3,7,3,1,6,4,3,2,2,2,2,3,3,2,3,3,4,3,1,1,2,1,1,1,1,2,4,2,2,5,1,1,1,1,1,1,1,1,1,1,1,2,1,998,998,1,998,998,1,998,6,1,5,3,3,2,3,3,2,2,4,4,4,3,3,3,3,4,4,4,4,5,2,3,2,3,3,3,3,3,2,4,4,3,3,3,1,2,3,3,3,3,4,3,2,3,1,4,2,3,2,2,2,3,3,2,3,2,2,3,4,2,2,4,3,3,4,3,2,998,998,998,998,998,998,17,999,7,2,-99,1,-99,-99,-99,4,5,2,2,1,2,1954,1,1,1,-99,2,998,1, ,6,3,1,2,2,3,5,5,1,1,997,-99,997,-99,-99,997,-99,997,997,997,997,997,999, ,1,1,-99,.743045193044759,.718120101956527,0
1,1079868,-99,-99,1,2,1,4,1,3,2,1,1,3,2,2,3,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,3,1,1,0,0,0,0,0,1,0,0,0,2, ,2,1,1,2,5,2,2,8,4,10,1,2,4, , ,1,2,999,2,5,2,1,0,0,0,0,0,0,0,3,1,0,8,10,8,9,1,7,1,2,1,1,1,2,2,2,2,2,2,2,2,1,2,2,1,1,1,2,2,2,5,3,1,1,1,3,1,1,1,3,2,1,1,1,1,3,1,1,1,1,3,4,7,4,3,2,2,3,3,2,999,2,2,2,5,2,4,3,2,2,2,2,5,3,5,2,3,4,3,5,3,2,5,5,5,5,4,1,1,3,5,1,4,3,5,2,1,1,4,2,3,1,3,3,3,3,3,3,3,3,3,3,2,4,1,5,2,4,2,1,1,2,2,1,1,1,18,5,2,2,-99,1,-99,-99,-99,2,2,2,2,2,2,1946,1,1,1,-99,998,998,7, ,6,3,1,2,2,2,5,10,1,1,997,-99,997,-99,-99,997,-99,997,997,997,997,997,999,3,1,1,-99,.717218991907599,.659669101041639,0
1,1081058,-99,-99,1,1,1,2,2,1,999,1,1,4,3,4,4,4,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,4,0,0,0,0,0,1,0,0,0,1,0,4, ,2,1,4,2,4,2,4,8,5,10,4,4,4, , ,2,1,2,2,3,4,0,1,1,0,1,0,0,0,5,3,6,6,4,8,5,6,7,2,1,2,2,3,3,2,3,3,2,2,1,1,2,2,2,2,1,1,4,3,2,5,2,2,1,1,1,1,2,1,2,1,1,3,1,1,3,1,3,3,1,3,4,3,4,5,2,3,4,5,2,3,3,1,3,4,3,3,3,2,2,2,4,4,2,2,1,2,2,2,3,3,3,4,4,3,4,4,1,1,4,5,3,3,3,4,1,3,1,2,4,3,1,3,3,3,3,3,3,3,3,3,3,2,5,2,4,2,3,2,1,1,2,998,1,2,1,15,999,1,5,-99,1,-99,-99,-99,4,4,2,1,2,2,1940,1,1,1,-99,2,998,1, ,3,2,1,2,1,3,5,11,3,1,5,-99,1,-99,-99,3,-99,2,2,1,2, ,999, ,1,1,-99,.678175546201983,.452056579854902,0
